Index	Author	MemberID	First/Last Author	Authors	Title	Citation	Year	PMID	Tumor Type(s)
689	Goldberg, Gabrielle		F	Goldberg GR, Meier DE.	A swinging pendulum: comment on 'on patient autonomy and physician responsibility in end-of-life care'.	Arch Intern Med. 2011 May 9;171(9):854. 	2011	21555665	
690	Van Aelst, Linda	33	L	Govek, E. E. and Hatten, M. E. and Van Aelst, L. 	The role of Rho GTPase proteins in CNS neuronal migration. 	Developmental Neurobiology, 71(6) pp. 528-553.	2011	21557504	
691	Aygun, Banu	115	F	Aygun B, Mortier NA, Smeltzer MP, Hankins JS, Ware RE.	Glomerular hyperfiltration and albuminuria in children with sickle cell anemia.	Pediatr Nephrol. 2011 Aug;26(8):1285-90.	2011	21559933	
692	Zhong, Yi	37	L	Shuai, Y. C. and Zhang, Y. S. and Gao, L. W. and Zhong, Y. 	Stress Resistance Conferred by Neuronal Expression of Dominant-Negative Rac in Adult Drosophila melanogaster.	 Journal of Neurogenetics, 25(1-2) pp. 35-39.	2011	21563892	
693	Okeke, Zeph	200	L	Duty B, Okhunov Z, Smith A, Okeke Z.	The debate over percutaneous nephrolithotomy positioning: a comprehensive review.	J Urol. 2011 Jul;186(1):20-5.	2011	21571342	
694	Bastidas, Nicholas	199	F	Bastidas N, Levine JP, Stile FL.	The 'sweet science' of reducing periorbital lacerations in mixed martial arts.	Ann Plast Surg. 2012 Jan;68(1):43-5. 	2012	21587048	
695	Huang, Z. Josh	43	L	Lazarus, M. S. and Huang, Z. J. 	Distinct maturation profiles of perisomatic and dendritic targeting GABAergic interneurons in the mouse primary visual cortex during the critical period of ocular dominance plasticity. 	Journal of Neurophysiology, 106(2) pp. 775-787.	2011	21613595	
696	Churchland, Anne	39	F	Churchland, A. K.	Normalizing relations between the senses. 	Nature Neuroscience, 14(6) pp. 672-3.	2011	21613993	
697	Okeke, Zeph	200	L	Okhunov Z, Duty B, Smith AD, Okeke Z.	Management of urolithiasis in patients after urinary diversions.	BJU Int. 2011 Aug;108(3):330-6. 	2011	21615672	
698	Blei, Francine	118		Pacione D, Blei F, Devinsky O, Weiner HL, Roth J.	Coagulation abnormalities in children undergoing epilepsy surgery.	J Neurosurg Pediatr. 2011 Jun;7(6):654-9. 	2011	21631205	
699	Tonks, Nicholas	29		Hyun, S. W. and Anglin, I. E. and Liu, A. and Yang, S. and Sorkin, J. D. and Lillehoj, E. and Tonks, N. K. and Passaniti, A. and Goldblum, S. E. 	Diverse injurious stimuli reduce protein tyrosine phosphatase-μ expression and enhance epidermal growth factor receptor signaling in human airway epithelia. 	Experimental Lung Research, 37(6) pp. 327-343.	2011	21649524	
700	Wigler, Michael;Levy, Dan;Iossifov, Ivan	34;48;44	F/L	Levy, D. and Ronemus, M. and Yamrom, B. and Lee, Y. H. and Leotta, A. and Kendall, J. T. and Marks, S. and Lakshmi, B. and Pai, D. and Ye, Kenny and Buja, Andreas and Krieger, Abba and Yoon, S. and Troge, J. E. and Rodgers,  L. and Iossifov, I. and Wigler, M. H. 	Rare De Novo and Transmitted Copy-Number Variation in Autistic Spectrum Disorders. 	Neuron, 70(5) pp. 886-897.	2011	21658582	
701	Wigler, Michael;Levy, Dan;Iossifov, Ivan	34;48;44		Gilman, S. R and Iossifov, I. and Levy, D. and Ronemus, M. and Wigler, M. H. and Vitkup, D. 	Rare De Novo Variants Associated with Autism Implicate a Large Functional Network of Genes Involved in Formation and Function of Synapses. 	Neuron, 70(5) pp. 898-907.	2011	21658583	
702	Hannon, Gregory	10		Tanaka, T. and Hosokawa, M. and Vagin, V. V. and Reuter, M. and Hayashi, E. and Mochizuki, A. L. and Kitamura, K. and Yamanaka, H. and Kondoh, G. and Okawa, K. and Kuramochi-Miyagawa, S. and Nakano, T. and Sachidanandam, R. and Hannon, G. J. and Pillai, R. S. and Nakatsuji, N. and Chuma, S. 	Tudor domain containing 7 (Tdrd7) is essential for dynamic ribonucleoprotein (RNP) remodeling of chromatoid bodies during spermatogenesis. 	Proceedings of the National Academy of Sciences of the United States of America, 108(26) pp. 10579-10584.	2011	21670278	
703	Spector, David	26		Shi, L. and Wang, J. and Hong, F. and Spector, D. L. and Fang, Y. 	Four amino acids guide the assembly or disassembly of Arabidopsis histone H3.3-containing nucleosomes. 	Proceedings of the National Academy of Sciences of the United States of America, 108 (26). pp. 10574-10578.	2011	21670303	
704	Jhaveri, Kenar	193		Malieckal D, Jhaveri KD, Chawla A.	Invited manuscript poster on renal-related education American Society of Nephrology, Nov. 16-21, 2010. Nephrology teaching tool: anagrams.	Ren Fail. 2011;33(7):736-40. 	2011	21671847	
705	Jhaveri, Kenar	193	L	Calderon K, Jhaveri KD.	Invited manuscript poster on renal-related education American Society of Nephrology, Nov. 16-21, 2010. Creative writing in nephrology education.	Ren Fail. 2011;33(7):655-7.	2011	21671849	
706	Furukawa, Hiro	41	L	Karakas, E. and Simorowski, N. and Furukawa, H. 	Subunit arrangement and phenylethanolamine binding in GluN1/GluN2B NMDA receptors. 	Nature, 475(7355) pp. 249- U170.	2011	21677647	
707	Spector, David	26	L	Mao, Y. S. and Zhang, B. and Spector, D. L. 	Biogenesis and function of nuclear bodies. 	Trends in Genetics, 27. pp. 295-306.	2011	21680045	
708	Soffer, Samuel	81		Gendy AS, Glick RD, Hong AR, Dolgin SE, Soffer SZ, Landers H, Herrforth M, Rosen NG.	A comparison of the cleft lift procedure vs wide excision and packing for the treatment of pilonidal disease in adolescents.	J Pediatr Surg. 2011 Jun;46(6):1256-9.	2011	21683232	
709	Hannon, Gregory	10		Wang, J. and Czech, B. and Crunk, A. and Wallace, A. and Mitreva, M. and Hannon, G. J. and Davis, R. E. 	Deep small RNA sequencing from the nematode Ascaris reveals conservation, functional diversification, and novel developmental profiles. 	Genome Research, 21(9) pp. 1462-1477.	2011	21685128	
710	Chiorazzi, Nicholas	63		Dozmorov IM, Jarvis J, Saban R, Benbrook DM, Wakeland E, Aksentijevich I, Ryan J, Chiorazzi N, Guthridge JM, Drewe E, Tighe PJ, Centola M, Lefkovits I.	Internal standard-based analysis of microarray data2--analysis of functional associations between HVE-genes.	Nucleic Acids Res. 2011 Oct;39(18):7881-99.	2011	21715372	
711	Stillman, Bruce	28		Kang B, Pu M, Hu G, Wen W, Dong Z, Zhao K, Stillman B, Zhang Z.	Phosphorylation of H4 Ser 47 promotes HIRA-mediated nucleosome assembly.	Genes Dev. 2011 Jul 1;25(13):1359-64. 	2011	21724829	
712	Martienssen, Rob	18		Li, F. and Martienssen, R. A. and Cande, W. Z. 	Coordination of DNA replication and histone modification by the Rik1-Dos2 complex.	Nature, 475(7355) pp. 244-U2562.	2011	21725325	
713	Enikolopov, Grigori	5		Amador-Arjona A, Elliott J, Miller A, Ginbey A, Pazour GJ, Enikolopov G, Roberts AJ, Terskikh AV.	Primary cilia regulate proliferation of amplifying progenitors in adult hippocampus: implications for learning and memory.	J Neurosci. 2011 Jul 6;31(27):9933-44. 	2011	21734285	
714	Koulakov, Alexei	47		Shusterman R, Smear MC, Koulakov AA, Rinberg D.	Precise olfactory responses tile the sniff cycle.	Nat Neurosci. 2011 Jul 17;14(8):1039-44. 	2011	21765422	
715	Gingeras, Thomas	7		Clark, M. B. and Amaral, P. P. and Schlesinger, F. J. and Dinger, M. E. and Taft, R. J. and Rinn, J. L. and Ponting, C. P. and Stadler, P. F. and Morris, K. V. and Morillon, A. and Rozowsky, J. S. and Gerstein, M. B. and Wahlestedt, C. and Hayashizaki, Y. and Carninci, P. and Gingeras, T. R. and Mattick, J. S. 	The reality of pervasive transcription.	PLoS Biol. 2011 Jul;9(7):e1000625;discussion e1001102.	2011	21765801	
716	Lyon, Gholson	51		Badner, J. A. and Koller, D. and Foroud, T. and Edenberg, H. and Nurnberger, J. I. and Zandi, P. P. and Willour, V. L. and McMahon, F. J. and Potash, J. B. and Hamshere, M. and Grozeva, D. and Green, E. and Kirov, G. and Jones, I. and Jones, L. and Craddock, N. and Morris, D. and Segurado, R. and Gill, M. and Sadovnick, D. and Remick, R. and Keck, P. and Kelsoe, J. and Ayub, M. and MacLean, A. and Blackwood, D. and Liu, C. Y. and Gershon, E. S. and McMahon, W. and Lyon, G. J. and Robinson, R. and Ross, J. and Byerley, W. 	Genome-wide linkage analysis of 972 bipolar pedigrees using single-nucleotide polymorphisms. 	Molecular Psychiatry, 17(8) pp. 818-826.	2012	21769101	
717	Siepel, Adam	24		Gottipati, S. and Arbiza, L. and Siepel, A. and Clark, A. G. and Keinan, A. 	Analyses of X-linked and autosomal genetic variation in population-scale whole genome sequencing. 	Nat Genet, 43(8) pp. 741-3.	2011	21775991	
718	Lee, Annette	68		Gorlova O, Martin JE, Rueda B, Koeleman BP, Ying J, Teruel M, Diaz-Gallo LM, Broen JC, Vonk MC, Simeon CP, Alizadeh BZ, Coenen MJ, Voskuyl AE, Schuerwegh AJ, van Riel PL, Vanthuyne M, van 't Slot R, Italiaander A, Ophoff RA, Hunzelmann N, Fonollosa V, Ortego-Centeno N, González-Gay MA, García-Hernández FJ, González-Escribano MF, Airo P, van Laar J, Worthington J, Hesselstrand R, Smith V, de Keyser F, Houssiau F, Chee MM, Madhok R, Shiels PG, Westhovens R, Kreuter A, de Baere E, Witte T, Padyukov L, Nordin A, Scorza R, Lunardi C, Lie BA, Hoffmann-Vold AM, Palm O, García de la Peña P, Carreira P;Spanish Scleroderma Group, Varga J, Hinchcliff M, Lee AT, Gourh P, Amos CI, Wigley FM, Hummers LK, Nelson JL, Riemekasten G, Herrick A, Beretta L, Fonseca C, Denton CP, Gregersen PK, Agarwal S, Assassi S, Tan FK, Arnett FC, Radstake TR, Mayes MD, Martin J.	Identification of novel genetic markers associated with clinical phenotypes of systemic sclerosis through a genome-wide association strategy.	PLoS Genet. 2011 Jul;7(7):e1002178. 	2011	21779181	
719	Schatz, Michael	23		Bogdanove, A. J. and Koebnik, R. and Lu, H. and Furutani, A. and Angiuoli, S. V. and Patil, P. B. and Van Sluys, M. A. and Ryan, R. P. and Meyer, D. F. and Han, S. W. and Aparna, G. and Rajaram, M. and Delcher, A. L. and Phillippy, A. M. and Puiu, D. and Schatz, M. C. and Shumway, M. and Sommer, D. D. and Trapnell, C. and Benahmed, F. and Dimitrov, G. and Madupu, R. and Radune, D. and Sullivan, S. and Jha, G. and Ishihara, H. and Lee, S. W. and Pandey, A. and Sharma, V. and Sriariyanun, M. and Szurek, B. and Vera-Cruz, C. M. and Dorman, K. S. and Ronald, P. C. and Verdier, V. and Dow, J. M. and Sonti, R. V. and Tsuge, S. and Brendel, V. P. and Rabinowicz, P. D. and Leach, J. E. and White, F. F. and Salzberg, S. L. 	Two new complete genome sequences offer insight into host and tissue specificity of plant pathogenic Xanthomonas spp.	Journal of Bacteriology, 193(19) pp. 5450-5464.	2011	21784931	
720	Lyon, Gholson	51	F	Lyon, Gholson J. and Jiang, Tao and Van Wijk, Richard and Wang, Wei and Bodily, Paul Mark and Xing, Jinchuan and Tian, Lifeng and Robison, Reid J. and Clement, Mark and Lin, Yang and Zhang, Peng and Liu, Ying and Moore, Barry and Glessner, Joseph T. and Elia, Josephine and Reimherr, Fred and van Solinge, Wouter W. and Yandell, Mark and Hakonarson, Hakon and Wang, Jun and Johnson, William Evan and Wei, Zhi and Wang, Kai 	Exome sequencing and unrelated findings in the context of complex disease research: ethical and clinical implications. 	Discovery Medicine, 12(62) pp. 41-55.	2011	21794208	
721	Ware, Doreen	58		Consortium, Arabidopsis Interactome Mapping 	Evidence for Network Evolution in an Arabidopsis Interactome Map. 	Science, 333(6042) pp. 601-607.	2011	21798944	
722	Jhaveri, Kenar	193	F	Jhaveri KD, Miller IJ.	What should be done to treat dialysis-associated ascites?	Semin Dial. 2011 Jul-Aug;24(4):368-9. 	2011	21801212	
723	Lee, Annette	68		Song JJ, Hwang I, Cho KH, Garcia MA, Kim AJ, Wang TH, Lindstrom TM, Lee AT, Nishimura T, Zhao L, Morser J, Nesheim M, Goodman SB, Lee DM, Bridges SL Jr;Consortium for the Longitudinal Evaluation of African Americans with Early Rheumatoid Arthritis 	Plasma carboxypeptidase B downregulates inflammatory responses in autoimmune arthritis.	J Clin Invest. 2011 Sep;121(9):3517-27. 	2011	21804193	
724	Martienssen, Rob	18	L	Van Ex, F. and Jacob, Y. and Martienssen, R. A. 	Multiple roles for small RNAs during plant reproduction. 	Current opinion in plant biology, 14(5) pp. 588-93.	2011	21807552	
725	Dubnau, Joshua	40		Lee, P. T. and Lin, H. W. and Chang, Y. H. and Fu, T. F. and Dubnau, J. T. and Hirsh, J. and Lee, T. and Chiang, A. S. 	Serotonin-mushroom body circuit modulating the formation of anesthesia-resistant memory in Drosophila. 	Proceedings of the National Academy of Sciences of the United States of America, 108(33) pp. 13794-13799.	2011	21808003	
726	Jackson, David	45	L	Whipple, C. J. and Kebrom, T. H. and Weber, A. L. and Yang, F. and Hall, D. and Meeley, R. and Schmidt, R. and Doebley, J. and Brutnell, T. P. and Jackson, D. P. 	grassy tillers1 promotes apical dominance in maize and responds to shade signals in the grasses. 	Proceedings of the National Academy of Sciences of the United States of America, 108(33) pp. E506-E512.	2011	21808030	
727	Sherry, Barbara	78		Laragione T, Brenner M, Sherry B, Gulko PS.	CXCL10 and its receptor CXCR3 regulate synovial fibroblast invasion in rheumatoid arthritis.	Arthritis Rheum. 2011 Nov;63(11):3274-83.	2011	21811993	
728	Lyon, Gholson	51		Wei, Zhi and Wang, Wei and Hu, Pingzhao and Lyon, Gholson J. and Hakonarson, Hakon 	SNVer: a statistical tool for variant calling in analysis of pooled or individual next-generation sequencing data. 	Nucleic Acids Research, 39(19) pp. e132.	2011	21813454	
729	Gingeras, Thomas	7		Jiang, L. C. and Schlesinger, F. J. and Davis, C. A. and Zhang, Y. and Li, R. H. and Salit, M. and Gingeras, T. R. and Oliver, B. 	Synthetic spike-in standards for RNA-seq experiments. 	Genome Research, 21(9) pp. 1543-1551.	2011	21816910	
730	Hannon, Gregory	10		Rangan, P. and Malone, Colin D. and Navarro, C. and Newbold, S. P and Hayes, P. S and Sachidanandam, R. and Hannon, G. J. and Lehmann, R. 	piRNA Production Requires Heterochromatin Formation in Drosophila. 	Current Biology, 21(16) pp. 1373-1379.	2011	21820311	
731	Timmermans, Marja	55		Javelle, M. and Klein-Cosson, C. and Vernoud, V. and Boltz, V. and Maher, C. and Timmermans, M. C. P. and Depege-Fargeix, N. and Rogowsky, P. M. 	Genome-Wide Characterization of the HD-ZIP IV Transcription Factor Family in Maize: Preferential Expression in the Epidermis. 	Plant Physiology, 157(2) pp. 790-803.	2011	21825105	
732	Hannon, Gregory	10		Zamparini, A. L. and Davis, M. Y. and Malone, C. D. and Vieira, E. and Zavadil, J. and Sachidanandam, R. and Hannon, G. J. and Lehmann, R.	Vreteno, a gonad-specific protein, is essential for germline development and primary pirna biogenesis in Drosophila. 	Development, 138(18) pp. 4039-4050.	2011	21831924	
733	Jhaveri, Kenar	193	L	Sparks MA, O'Seaghdha CM, Sethi SK, Jhaveri KD.	Embracing the Internet as a means of enhancing medical education in nephrology.	Am J Kidney Dis. 2011 Oct;58(4):512-8. 	2011	21840099	
734	Odaimi, Marcel	148		Ventarola DJ, Mercer SE, Contard PC, Odaimi MF, Emanuel PO, Birge MB, Phelps RG.	S-100-Negative, CD1a-positive histiocytosis: a new variant with features of both indeterminate cells and interstitial dermal dendrocytes.	Arch Dermatol. 2011 Aug;147(8):995-7. 	2011	21844473	
735	Turner, Glenn	57	L	Honegger, K. S. and Campbell, R. A. A. and Turner, G. C. 	Cellular-Resolution Population Imaging Reveals Robust Sparse Coding in the Drosophila Mushroom Body. 	Journal of Neuroscience, 31(33) pp. 11772-11785.	2011	21849538	
736	Siepel, Adam	24		Lowe, C. B. and Kellis, M. and Siepel, A. and Raney, B. J. and Clamp, M. and Salama, S. R. and Kingsley, D. M. and Lindblad-Toh, K. and Haussler, D. 	Three periods of regulatory innovation during vertebrate evolution. 	Science, 333(6045) pp. 1019-24.	2011	21852499	
737	Gupta, Shilpi;Forte, Frank	169	F/L	Gupta S, Ahern K, Nakhl F, Forte F.	Clinical usefulness of haptoglobin levels to evaluate hemolysis in recently transfused patients.	Adv Hematol. 2011;2011:389854. 	2011	21860624	
738	Jackson, David	45	L	Xu, X. M. and Wang, J. and Xuan, Z. Y. and Goldshmidt, A. and Borrill, P. G. M. and Hariharan, N. and Kim, J. Y. and Jackson, D. P. 	Chaperonins Facilitate KNOTTED1 Cell-to-Cell Trafficking and Stem Cell Function. 	Science, 333(6046) pp. 1141-1144.	2011	21868675	
739	Tanna, Neil	198		Roostaeian J, Kohan E, Tanna N, Tabit CJ, Kawamoto HK, Bradley JP.	Staged reconstruction of the lower eyelid following tri-lamellar injury: a case series and anatomic study.	J Plast Reconstr Aesthet Surg. 2012 Jan;65(1):48-53. 	2012	21873133	
740	Aygun, Banu	115		Ware RE, Despotovic JM, Mortier NA, Flanagan JM, He J, Smeltzer MP, Kimble AC, Aygun B, Wu S, Howard T, Sparreboom A.	Pharmacokinetics, pharmacodynamics, and pharmacogenetics of hydroxyurea treatment for children with sickle cell anemia.	Blood. 2011 Nov 3;118(18):4985-91.	2011	21876119	
741	Moldwin, Robert	201	L	Rais-Bahrami S, Friedlander JI, Herati AS, Sadek MA, Ruzimovsky M, Moldwin RM.	Symptom profile variability of interstitial cystitis/painful bladder syndrome by age.	BJU Int. 2012 May;109(9):1356-9. 	2012	21883848	
742	Stenlund, Arne	27	L	Schuck, S. and Stenlund, A. 	Mechanistic analysis of local ori melting and helicase assembly by the papillomavirus e1 protein. 	Mol Cell, 43(5) pp. 776-787.	2011	21884978	
743	Vakoc, Christopher	32		Delmore, J. E. and Issa, G. C. and Lemieux, M. E. and Rahl, P. B. and Shi, J. W. and Jacobs, H. M. and Kastritis, E. and Gilpatrick, T. and Paranal, R. M. and Qi, J. and Chesi, M. and Schinzel, A. C. and McKeown, M. R. and Heffernan, T. P. and Vakoc, C. R. and Bergsagel, P.   and Ghobrial, I. M. and Richardson, P. G. and Young, R. A. and Hahn, W. C. and Anderson, K. C. and Kung, A. L. and Bradner, J. E. and Mitsiades, C. S. 	BET Bromodomain Inhibition as a Therapeutic Strategy to Target c-Myc. 	Cell, 146(6) pp. 904-917.	2011	21889194	
744	Aygun, Banu	115		McCarville MB, Rogers ZR, Sarnaik S, Scott P, Aygun B, Hilliard L, Lee MT, Kalinyak K, Owen W, Garro J, Schultz W, Yovetich N, Ware RE;SWiTCH Investigators.	Effects of chronic transfusions on abdominal sonographic abnormalities in children with sickle cell anemia.	J Pediatr. 2012 Feb;160(2):281-285.e1. 	2012	21907352	
745	McCombie, W. Richard;Dos Santos, Camila;Hannon, Gregory	19;10;3	L	Hodges E, Molaro A, Dos Santos CO, Thekkat P, Song Q, Uren PJ, Park J, Butler J, Rafii S, McCombie WR, Smith AD, Hannon GJ.	Directional DNA methylation changes and complex intermediate states accompany lineage specificity in the adult hematopoietic compartment.	Mol Cell. 2011 Oct 7;44(1):17-28. 	2011	21924933	
746	Hannon, Gregory;McCombie, W. Richard	19;10		Molaro A, Hodges E, Fang F, Song Q, McCombie WR, Hannon GJ, Smith AD.	Sperm methylation profiles reveal features of epigenetic inheritance and evolution in primates.	Cell. 2011 Sep 16;146(6):1029-41.	2011	21925323	
747	Schatz, Michael	23		Earl, D. and Bradnam, K. and St. John, J. and Darling, A. and Lin, D. and Fass, J. and Yu, H. O. K. and Buffalo, V. and Zerbino, D. R. and Diekhans, M. and Nguyen, N. and Ariyaratne, P. N. and Sung, W. K. and Ning, Z. and Haimel, M. and Simpson, J. T. and Fonseca, N. A. and Birol, I. and Docking, T. R. and Ho, I. Y. and Rokhsar, D. S. and Chikhi, R. and Lavenier, D. and Chapuis, G. and Naquin, D. and Maillet, N. and Schatz, M. C. and Kelley, D. R. and Phillippy, A. M. and Koren, S. and Yang, S. P. and Wu, W. and Chou, W. C. and Srivastava, A. and Shaw, T. I. and Ruby, J. G. and Skewes-Cox, P. and Betegon, M. and Dimon, M. T. and Solovyev, V. and Seledtsov, I. and Kosarev, P. and Vorobyev, D. and Ramirez-Gonzalez, R. and Leggett, R. and MacLean, D. and Xia, F. and Luo, R. and Li, Z. and Xie, Y. and Liu, B. and Gnerre, S. and MacCallum, I. and Przybylski, D. and Ribeiro, F. J. and Sharpe, T. and Hall, G. and Kersey, P. J. and Durbin, R. and Jackman, S. D. and Chapman, J. A. and Huang, X. and DeRisi, J. L. and Caccamo, M. and Li, Y. and Jaffe, D. B. and Green, R. E. and Haussler, D. and Korf, I. and Paten, B. 	Assemblathon 1: A competitive assessment of de novo short read assembly methods. 	Genome Research, 21(12) pp. 2224-2241.	2011	21926179	
748	Siepel, Adam	24	L	Gronau, I. and Hubisz, M. J. and Gulko, B. and Danko, C. G. and Siepel, A. 	Bayesian inference of ancient human demography from individual genome sequences. 	Nat Genet, 43(10) pp. 1031-4.	2011	21926973	
749	Redner, Arlene	119	L	Issaivanan M, Cohen S, Mittler M, Johnson A, Edelman M, Redner A.	Iatrogenic spinal epidermoid cyst after lumbar puncture using needles with stylet.	Pediatr Hematol Oncol. 2011 Oct;28(7):600-3. 	2011	21936622	
750	Lesser, Martin	69		Gallego JA, Robinson DG, Sevy SM, Napolitano B, McCormack J, Lesser ML, Kane JM.	Time to treatment response in first-episode schizophrenia: should acute treatment trials last several months?	J Clin Psychiatry. 2011 Dec;72(12):1691-6.	2011	21939612	
751	Huang, Z. Josh	43	L	Taniguchi, H. and He, M. and Wu, P. and Kim, S. and Paik, R. and Sugino, K. and Kvitsani, D. and Fu, Y. and Lu, J. and Lin, Y. and Miyoshi, G. and Shima, Y. and Fishell, G. and Nelson, S. B. and Huang, Z.  J. 	A Resource of Cre Driver Lines for Genetic Targeting of GABAergic Neurons in Cerebral Cortex. 	Neuron, 71(6) pp. 995-1013.	2011	21943598	
752	Koulakov, Alexei	47	F	Koulakov AA, Kolterman BE, Enikolopov AG, Rinberg D.	In search of the structure of human olfactory space.	Front Syst Neurosci. 2011 Sep 15;5:65.	2011	21954378	
753	Iossifov, Ivan;McCombie, W. Richard	19;44	L	Parla JS, Iossifov I, Grabill I, Spector MS, Kramer M, McCombie WR.	A comparative analysis of exome capture.	Genome Biol. 2011 Sep 29;12(9):R97.	2011	21958622	
754	Tonks, Nicholas	29	L	Haque, Aftabul and Andersen, J. N. and Salmeen, A. and Barford, D. and Tonks, N. K. 	Conformation-Sensing Antibodies Stabilize the Oxidized Form of PTP1B and Inhibit Its Phosphatase Activity. 	Cell, 147(1) pp. 185-198.	2011	21962515	
755	Lesser, Martin;Atallah, Jean Paul 	69;112		Azab B, Jaglall N, Atallah JP, Lamet A, Raja-Surya V, Farah B, Lesser M, Widmann WD.	Neutrophil-lymphocyte ratio as a predictor of adverse outcomes of acute pancreatitis.	Pancreatology. 2011;11(4):445-52.	2011	21968329	
756	Wigler, Michael;Mills, Alea A.	34;20	L	Horev, G. and Ellegood, J. and Lerch, J. P. and Son, Y. E. and Muthuswamy, L. and Vogel, H. and Krieger, A. M. and Buja, A. and Henkelman, R. M. and Wigler, M. H. and Mills, A. A. 	Dosage-dependent phenotypes in models of 16p11.2 lesions found in autism. 	Proceedings of the National Academy of Sciences of the United States of America, 108(41) pp. 17076-81.	2011	21969575	
757	Spector, David	26	F	Spector, David L. 	Immunofluorescence localization of nuclear proteins. 	Cold Spring Harbor Protocols, 2011 (10). pp. 1276-1280.	2011	21969615	
758	Symons, Marc	83	F	Symons M.	Rac1 activation comes full circle.	EMBO J. 2011 Oct 5;30(19):3875-7. 	2011	21975373	
759	Krainer, Adrian R.	14	L	Hua, Y. and Sahashi, K. and Rigo, F. and Hung, G. and Horev, G. and Bennett, C. F. and Krainer, A. R. 	Peripheral SMN restoration is essential for long-term rescue of a severe spinal muscular atrophy mouse model. 	Nature, 478(7367) pp. 123-6.	2011	21979052	
760	Koulakov, Alexei	47	F	Koulakov AA, Rinberg D.	Sparse incomplete representations: a potential role of olfactory granule cells.	Neuron. 2011 Oct 6;72(1):124-36.	2011	21982374	
761	Spector, David	26	L	Zhao, R. and Nakamura, T. and Fu, Y. and Lazar, Z. and Spector, D. L. 	Gene bookmarking accelerates the kinetics of post-mitotic transcriptional re-activation. 	Nature Cell Biology, 13 (11). 1295-1304. 	2011	21983563	
762	McCombie, W. Richard	19		Tyekucheva S, Yolken RH, McCombie WR, Parla J, Kramer M, Wheelan SJ, Sabunciyan S.	Establishing the baseline level of repetitive element expression in the human cortex.	BMC Genomics. 2011 Oct 10;12:495. 	2011	21985647	
763	Siepel, Adam	24		Lindblad-Toh, K. and Garber, M. and Zuk, O. and Lin, M. F. and Parker, B. J. and Washietl, S. and Kheradpour, P. and Ernst, J. and Jordan, G. and Mauceli, E. and Ward, L. D. and Lowe, C. B. and Holloway, A. K. and Clamp, M. and Gnerre, S. and Alfoldi, J. and Beal, K. and Chang, J. and Clawson, H. and Cuff, J. and Di Palma, F. and Fitzgerald, S. and Flicek, P. and Guttman, M. and Hubisz, M. J. and Jaffe, D. B. and Jungreis, I. and Kent, W. J. and Kostka, D. and Lara, M. and Martins, A. L. and Massingham, T. and Moltke, I. and Raney, B. J. and Rasmussen, M. D. and Robinson, J. and Stark, A. and Vilella, A. J. and Wen, J. and Xie, X. and Zody, M. C. and Baldwin, J. and Bloom, T. and Chin, C. W. and Heiman, D. and Nicol, R. and Nusbaum, C. and Young, S. and Wilkinson, J. and Worley, K. C. and Kovar, C. L. and Muzny, D. M. and Gibbs, R. A. and Cree, A. and Dihn, H. H. and Fowler, G. and Jhangiani, S. and Joshi, V. and Lee, S. and Lewis, L. R. and Nazareth, L. V. and Okwuonu, G. and Santibanez, J. and Warren, W. C. and Mardis, E. R. and Weinstock, G. M. and Wilson, R. K. and Delehaunty, K. and Dooling, D. and Fronik, C. and Fulton, L. and Fulton, B. and Graves, T. and Minx, P. and Sodergren, E. and Birney, E. and Margulies, E. H. and Herrero, J. and Green, E. D. and Haussler, D. and Siepel, A. and Goldman, N. and Pollard, K. S. and Pedersen, J. S. and Lander, E. S. and Kellis, M. 	A high-resolution map of human evolutionary constraint using 29 mammals. 	Nature, 478(7370) pp. 476-82.	2011	21993624	
764	Martienssen, Rob	18	L	Zaratiegui, M. and Castel, S. E. and Irvine, D. V. and Kloc, A. and Ren, J. and Li, F. and de Castro, E. and Marin, L. and Chang, A. Y. and Goto, D. and Cande, W. Z. and Antequera, F. and Arcangioli, B. and Martienssen, R. A. 	RNAi promotes heterochromatic silencing through replication-coupled release of RNA Pol II. 	Nature, 479(7371) pp. 135-8.	2011	22002604	
765	Schulder, Michael	77	F	Schulder M.	Editorial.	Neurol Res. 2011 Oct;33(8):785-6. 	2011	22004700	
766	Demopoulos, Alexis	186	F	Demopoulos A.	Neoplastic meningitis: challenging to diagnose, difficult to treat, important to palliate.	J Support Oncol. 2012 Mar-Apr;10(2):54.	2012	22005220	
767	Aygun, Banu	115		Ngo DA, Aygun B, Akinsheye I, Hankins JS, Bhan I, Luo HY, Steinberg MH, Chui DH.	Fetal haemoglobin levels and haematological characteristics of compound heterozygotes for haemoglobin S and deletional hereditary persistence of fetal haemoglobin.	Br J Haematol. 2012 Jan;156(2):259-64. 	2012	22017641	
768	Van Aelst, Linda	33	L	Nadif Kasri, N. and Nakano-Kobayashi, A. and Van Aelst, L. 	Rapid Synthesis of the X-Linked Mental Retardation Protein OPHN1 Mediates mGluR-Dependent LTD through Interaction with the Endocytic Machinery. 	Neuron, 72(2) pp. 300-315.	2011	22017989	
