Serial.Number	Project.Title	Tumor.Type	Administering..IC	Application.ID	Project.Number	Type	Activity	IC	Support.Year	Suffix	Subproject.Number	Contact.PI..Person.ID	Contact.PI...Project.Leader	PI.Trim	MemberID	Other.PI.or.Project.Leader.s.	Organization.Name	ARRA.Indicator	FY	FY.Total.Cost	FY.Total.Cost...Sub.Projects.	FY.Total
97234	CMV ENTRY-SPECIFIC NEUTRALIZING ANTIBODY IN PRIMARY INFECTION IN TRANSPLANTATION		NIAID	8645608	5K23AI097234-03	5	K23	AI	3		NA	10250272	GREEN, MARGARET L	GREEN, MARGARET L	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	130680	NA	130680
5856	SPECIFIC ADOPTIVE IMMUNOTHERAPY OF MYELOID MALIGNANCY		NCI	8733527	5P01CA018029-39	5	P01	CA	39		5856	9253382	GREENBERG, PHILIP D	GREENBERG, PHILIP D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	453406	453406
8298	ZFN-MODIFIED STEM CELLS FOR HIV ERADICATION		NIAID	8691705	5U19AI096111-04	5	U19	AI	4		8298	7791039	GREGORY, PHILIP D	GREGORY, PHILIP D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	172991	172991
44746	FUNCTION OF HUMAN & MOUSE BETA-GLOBIN LOCUS CONTROL REGIONS		NIDDK	8638940	5R37DK044746-23	5	R37	DK	23		NA	1858526	GROUDINE, MARK T	GROUDINE, MARK T	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	975422	NA	975422
53451	MOLECULAR ANALYSIS OF EUKARYOTIC TRANSCRIPTION		NIGMS	8645632	5R01GM053451-19	5	R01	GM	19		NA	1887728	HAHN, STEVEN M	HAHN, STEVEN M	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	643958	NA	643958
75114	MECHANISMS OF EUKARYOTIC TRANSCRIPTION ACTIVATION		NIGMS	8770495	2R01GM075114-09A1	2	R01	GM	9	A1	NA	1887728	HAHN, STEVEN M	HAHN, STEVEN M	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	545664	NA	545664
32042	METHODS FOR EVALUATING VACCINE EFFICACY		NIAID	8663159	5R37AI032042-21	5	R37	AI	21		NA	1890460	HALLORAN, M ELIZABETH	HALLORAN, M ELIZABETH	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	507032	NA	507032
5092	TRAINING; OUTREACH; AND DIVERSITY PLANS		NIGMS	8796483	1U54GM111274-01	1	U54	GM	1		5092	1890460	HALLORAN, M ELIZABETH	HALLORAN, M ELIZABETH	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	176488	176488
111274	CENTER FOR STATISTICS AND QUANTITATIVE INFECTIOUS DISEASES		NIGMS	8753460	1U54GM111274-01	1	U54	GM	1		NA	1890460	HALLORAN, M ELIZABETH	HALLORAN, M ELIZABETH	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	2500411	NA	2500411
105914	WHOLE GENOME ASSOCIATION ANALYSIS OF HEMATOPOIETIC CELL TRANSPLANT (HCT) OUTCOME		NHLBI	8603178	5R01HL105914-04	5	R01	HL	4		NA	1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	949004	NA	949004
6049	CORE C: CLONAL ANALYSIS		NIDDK	8698730	5P30DK056465-16	5	P30	DK	16		6049	1919888	HARKEY, MICHAEL A	HARKEY, MICHAEL A	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	142719	142719
102336	CONSTRUCTING A STEM CELL NICHE		NIDDK	8784097	1F32DK102336-01A1	1	F32	DK	1	A1	NA	10638198	HAYES, BRIAN JOSEPH	HAYES, BRIAN JOSEPH	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	49850	NA	49850
5854	CELL PROCESSING AND STORAGE 		NCI	8733525	5P01CA018029-39	5	P01	CA	39		5854	1921030	HEIMFELD, SHELLY 	HEIMFELD, SHELLY	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	318460	318460
6048	CORE B: LARGE-SCALE CELL PROCESSING		NIDDK	8698728	5P30DK056465-16	5	P30	DK	16		6048	1921030	HEIMFELD, SHELLY 	HEIMFELD, SHELLY	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	158080	158080
20116	EPIGENOMIC PROFILING OF HISTONE TURNOVER KINETICS IN MAMMALIAN CELLS		NIEHS	8667447	5R01ES020116-05	5	R01	ES	5		NA	1862345	HENIKOFF, STEVEN 	HENIKOFF, STEVEN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	476486	NA	476486
87397	COMPUTATIONAL APPROACHES TO STUDYING IMMUNODOMINANCE.		NIAID	8712338	5K25AI087397-05	5	K25	AI	5		NA	9866388	HERTZ, TOMER 	HERTZ, TOMER	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	123871	NA	123871
161112	OVERCOMING STROMAL BARRIERS TO THERAPEUTICS IN PANCREAS CANCER		NCI	8699699	5R01CA161112-04	5	R01	CA	4		NA	1926329	HINGORANI, SUNIL R	HINGORANI, SUNIL R	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	494110	NA	494110
6631	METABOLIC ALTERATIONS IN ADVANCED BREAST CANCER AND RESPONSE TO SYSTEMIC THERAPY.		NCI	8728123	5P50CA138293-05	5	P50	CA	5		6631	1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	340614	340614
158921	METABOLISM; PROTEIN AND MIRNA CROSS-TALK IN CELL CYCLE AND TUMOR PROGRESSION		NCI	8624665	5R01CA158921-03	5	R01	CA	3		NA	1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	354244	NA	354244
20819	BIOMARKER DISCOVERY FOR MITOCHONDRIAL TOXICANTS USING METABOLIC FOOTPRINTING		NIEHS	8691819	5R01ES020819-04	5	R01	ES	4		NA	1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	373821	NA	373821
5273	THE PRONEURAL PERIVASCULAR NICHE AND THERAPEUTIC RESPONSE		NCI	8731826	5U54CA163167-04	5	U54	CA	4		5273	2067406	HOLLAND, ERIC C.	HOLLAND, ERIC C.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	236656	236656
5276	ADMINISTRATIVE CORE		NCI	8731829	5U54CA163167-04	5	U54	CA	4		5276	2067406	HOLLAND, ERIC C.	HOLLAND, ERIC C.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	43292	43292
163167	ROLE OF THE PERIVASCULAR MICROENVIRONMENT IN PRIMARY AND METASTATIC BRAIN TUMORS		NCI	8731825	5U54CA163167-04	5	U54	CA	4		NA	2067406	HOLLAND, ERIC C.	HOLLAND, ERIC C.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	934250	NA	934250
175154	DEFINING THE ROLE OF EIF4F IN METASTATIC CASTRATION RESISTANT PROSTATE CANCER		NCI	8991399	7K08CA175154-03	7	K08	CA	3		NA	10807181	HSIEH, ANDREW CALEB	HSIEH, ANDREW CALEB	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	111744	NA	111744
14397	INVESTIGATING THE PROTO TARGETS IN REGULATING DRUG-INDUCED HAIR CELL DEATH		NIDCD	8836313	1F32DC014397-01	1	F32	DC	1		NA	8825727	HSU, JOANNE 	HSU, JOANNE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	53282	NA	53282
6127	STATISTICAL METHODS FOR GENETIC EPIDEMIOLOGY		NCI	8692663	5P01CA053996-37	5	P01	CA	37		6127	1938051	HSU, LI 	HSU, LI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	173201	173201
6639	BIOSTATISTICS		NCI	8728128	5P50CA138293-05	5	P50	CA	5		6639	1938051	HSU, LI 	HSU, LI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	219515	219515
8302	NONHUMAN PRIMATE CORE		NIAID	8691709	5U19AI096111-04	5	U19	AI	4		8302	1858802	HU, SHIU-LOK 	HU, SHIU-LOK	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	1092245	1092245
106177	STATISTICAL METHODS FOR SELECTION AND EVALUATION OF BIOMARKERS		NIGMS	8660307	5R01GM106177-02	5	R01	GM	2		NA	9297264	HUANG, YING 	HUANG, YING	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	324364	NA	324364
5277	PATHOLOGY CORE		NCI	8731830	5U54CA163167-04	5	U54	CA	4		5277	10795010	HUSE, JASON THOMAS	HUSE, JASON THOMAS	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	17703	17703
152089	STATISTICAL METHODS FOR EVALUATING MARKERS FOR TREATMENT SELECTION		NCI	8586307	5R01CA152089-05	5	R01	CA	5		NA	6817166	JANES, HOLLY 	JANES, HOLLY	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	366952	NA	366952
8300	TARGETED DISRUPTION OF INTEGRATED SHIV BY ENGINEERED HOMING ENDONUCLEASES		NIAID	8691707	5U19AI096111-04	5	U19	AI	4		8300	1942486	JEROME, KEITH R	JEROME, KEITH R	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	628732	628732
8306	ADMINISTRATIVE CORE		NIAID	8691713	5U19AI096111-04	5	U19	AI	4		8306	1942486	JEROME, KEITH R	JEROME, KEITH R	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	334002	334002
96111	TARGETED MODIFICATION OF HOST AND PROVIRAL DNA TO TREAT LATENT HIV INFECTION		NIAID	8691703	5U19AI096111-04	5	U19	AI	4		NA	1942486	JEROME, KEITH R 	JEROME, KEITH R	NA	KIEM, HANS-PETER 	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	4068789	NA	4068789
186458	HIGH-RESOLUTION ANALYSIS OF CHROMATIN REGULATION BY THE MAX NETWORK		NCI	8717349	1F30CA186458-01	1	F30	CA	1		NA	10698317	KASINATHAN, SIVAKANTHAN 	KASINATHAN, SIVAKANTHAN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	36338	NA	36338
176303	AN INTEGRATED COMPUTATIONAL AND FUNCTIONAL GENOMICS DISCOVERY ENGINE FOR PRECLINI		NCI	8685205	5U01CA176303-02	5	U01	CA	2		NA	1894034	KEMP, CHRISTOPHER J	KEMP, CHRISTOPHER J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	1013016	NA	1013016
8299	CCR5 TARGETING TO CONTROL HIV/SHIV TO NONHUMAN PRIMATES		NIAID	8691706	5U19AI096111-04	5	U19	AI	4		8299	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	248918	248918
8303	TRANSPLANTATION CORE		NIAID	8691710	5U19AI096111-04	5	U19	AI	4		8303	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	628430	628430
110154	CELL-BASED SECRETION OF ANTIVIRAL MOLECULES AS A TREATMENT FOR HIV-AIDS		NIAID	8656280	1R21AI110154-01	1	R21	AI	1		NA	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	259621	NA	259621
6050	CORE D: VECTOR PRODUCTION		NIDDK	8698731	5P30DK056465-16	5	P30	DK	16		6050	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	177106	177106
115128	EVALUATION OF PLURIPOTENT STEM CELL-DERIVED BLOOD CELLS IN NONHUMAN PRIMATE MODEL		NHLBI	8708956	5R01HL115128-02	5	R01	HL	2		NA	2090964	KIEM, HANS-PETER  	KIEM, HANS-PETER	NA	RAFII, SHAHIN 	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	841579	NA	841579
8068	COLLABORATION FOR A HEALTHY COMMUNITY		NIMHD	8656811	5R24MD008068-02	5	R24	MD	2		NA	10576913	KO, LINDA K 	KO, LINDA K	NA	PERRY, CYNTHIA KAY	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	358866	NA	358866
6124	ADAPTIVE STATISTICAL METHODS FOR GENETIC ASSOCIATION STUDIES		NHGRI	8633050	5R01HG006124-04	5	R01	HG	4		NA	1861221	KOOPERBERG, CHARLES L	KOOPERBERG, CHARLES L	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	344960	NA	344960
7376	EXONIC VARIANTS AND THEIR RELATION TO COMPLEX TRAITS IN MINORITIES OF THE WHI		NHGRI	8728986	5U01HG007376-02	5	U01	HG	2		NA	1861221	KOOPERBERG, CHARLES L	KOOPERBERG, CHARLES L	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	665846	NA	665846
5091	POLICY STUDIES		NIGMS	8796480	1U54GM111274-01	1	U54	GM	1		5091	7354070	KOOPMAN, JAMES STEPHEN	KOOPMAN, JAMES STEPHEN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	217214	217214
6499	PHYLOGENIES OF BARRETT'S ESOPHAGUS LINEAGES		NCI	8668335	2P01CA091955-11A1	2	P01	CA	11	A1	6499	1931836	KUHNER, MARY K	KUHNER, MARY K	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	167129	167129
105065	OBJECTIVE PHYSICAL ACTIVITY AND CARDIOVASCULAR HEALTH IN WOMEN AGED 80 AND OLDER		NHLBI	8656403	5R01HL105065-04	5	R01	HL	4		NA	1871640	LACROIX, ANDREA Z.	LACROIX, ANDREA Z.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	977906	NA	977906
162077	GUT MICROBIOTA AND COLONIC GENE EXPRESSION: A LIGRAN TRIAL IN HUMANS		NCI	8726945	5U01CA162077-04	5	U01	CA	4		NA	1938336	LAMPE, JOHANNA W 	LAMPE, JOHANNA W	NA	CHAPKIN, ROBERT STEPHEN;HULLAR, MEREDITH 	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	607938	NA	607938
162173	CHARACTERIZING NOVEL ESTROGEN BIOMARKERS IMPLICATED IN BREAST CANCER INITIATION		NCI	8601152	5R03CA162173-02	5	R03	CA	2		NA	1938336	LAMPE, JOHANNA W	LAMPE, JOHANNA W	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	85360	NA	85360
152746	AFFINITY BASED STRATEGIES TO FAST TRACK DEVELOPMENT OF COLON CANCER BIOMARKERS		NCI	8686771	5U01CA152746-05	5	U01	CA	5		NA	3168785	LAMPE, PAUL D 	LAMPE, PAUL D	NA	HANASH, SAMIR M	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	584841	NA	584841
185097	PROTEOMIC; GLYCOMIC AND AUTOANTIBODY LUNG CANCER BIOMARKER VALIDATION		NCI	8687191	1U01CA185097-01	1	U01	CA	1		NA	3168785	LAMPE, PAUL D 	LAMPE, PAUL D	NA	HOUGHTON, A. MCGARRY 	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	349811	NA	349811
55632	PHOSPHORYLATION OF GAP JUNCTION PROTEINS		NIGMS	8759795	2R01GM055632-17A1	2	R01	GM	17	A1	NA	3168785	LAMPE, PAUL D	LAMPE, PAUL D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	393270	NA	393270
180819	SWOG STATISTICS AND DATA MANAGEMENT CENTER		NCI	8605318	1U10CA180819-01	1	U10	CA	1		NA	1941183	LEBLANC, MICHAEL L.	LEBLANC, MICHAEL L.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	6340997	NA	6340997
118953	IMPROVING OUTCOMES ASSESSMENT IN CHRONIC GRAFT VERSUS HOST DISEASE		NCI	8616040	5R01CA118953-07	5	R01	CA	7		NA	1901140	LEE, STEPHANIE J	LEE, STEPHANIE J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	279083	NA	279083
163438	IMMUNE MEDIATED DISORDERS AFTER ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTS (HCT)		NCI	8922274	3U54CA163438-05S1	3	U54	CA	5	S1	NA	1901140	LEE, STEPHANIE J	LEE, STEPHANIE J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	300000	NA	300000
104449	PREP EXPOSURE DURING HIV-1 INFECTION AND THE RISK OF LOW-FREQUENCY ARV RESISTANCE		NIAID	8617795	5R21AI104449-02	5	R21	AI	2		NA	10333916	LEHMAN, DARA ANN	LEHMAN, DARA ANN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	218179	NA	218179
54498	LATE EFFECTS OF TREATMENT IN WILMS TUMOR SURVIVORS AND OFFSPRING		NCI	8707831	5R01CA054498-23	5	R01	CA	23		NA	1933795	LEISENRING, WENDY M	LEISENRING, WENDY M	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	658124	NA	658124
107351	EVOLUTIONARY AND FUNCTIONAL DIVERSIFICATION OF CHROMATIN PROTEINS		NIGMS	8730205	5K99GM107351-02	5	K99	GM	2		NA	10199354	LEVINE, MIA TAUNA	LEVINE, MIA TAUNA	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	90000	NA	90000
97271	RISK FACTORS FOR SECOND PRIMARY BREAST CANCER AMONG DCIS SURVIVORS		NCI	8597519	5R01CA097271-10	5	R01	CA	10		NA	6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	554629	NA	554629
6185	RISK FACTORS FOR TRIPLE-NEGATIVE AND HER2-OVEREXPRESSING BREAST CANCER AMONG HI..		NCI	8725070	5P50CA148143-05	5	P50	CA	5		6185	6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	272139	272139
152637	BREAST AND OVARY CANCER CLINICAL VALIDATION CENTER		NCI	8688928	5U01CA152637-05	5	U01	CA	5		NA	6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	725717	NA	725717
5085	MODELING; SPATIAL; STATISTICS		NIGMS	8796461	1U54GM111274-01	1	U54	GM	1		5085	8541810	LONGINI, IRA M	LONGINI, IRA M	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	896156	896156
182940	ESOPHAGEAL CANCER FROM CELLS TO POPULATION: A MULTISCALE APPROACH		NCI	8735912	5U01CA182940-02	5	U01	CA	2		NA	2268350	LUEBECK, GEORG E. 	LUEBECK, GEORG E.	NA	HUR, CHIN ;INADOMI, JOHN MATTHEW;WANG, KENNETH K	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	648084	NA	648084
87657	REGULATORY T CELL MODULATION OF IMMUNITY TO MUCOSAL VIRAL INFECTIONS		NIAID	8667932	5R01AI087657-05	5	R01	AI	5		NA	8733495	LUND, JENNIFER M.	LUND, JENNIFER M.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	435600	NA	435600
148867	USING MOUSE MODELS TO UNDERSTAND RETINOBLASTOMA INITIATION AND PROGRESSION		NCI	8593272	5R01CA148867-06	5	R01	CA	6		NA	9856130	MACPHERSON, DAVID 	MACPHERSON, DAVID	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	386570	NA	386570
99804	POST GWA ANALYSIS OF INFLAMMATION PATHWAYS IN BARRETT'S AND ESOPHAGEAL CANCER		NIDDK	8702512	1R21DK099804-01A1	1	R21	DK	1	A1	NA	2478519	MADELEINE, MARGARET M	MADELEINE, MARGARET M	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	220000	NA	220000
74108	GENETIC CONFLICT SHAPES CENTROMERES AND HETEROCHROMATIN		NIGMS	8890953	3R01GM074108-09S1	3	R01	GM	9	S1	NA	8039624	MALIK, HARMIT S	MALIK, HARMIT S	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	115256	NA	115256
173795	TAMOXIFEN; P450 AND UGT ENZYME GENETIC VARIATION; AND BREAST CANCER RECURRENCE/MO		NCI	8734348	5R03CA173795-02	5	R03	CA	2		NA	1896638	MALONE, KATHLEEN E	MALONE, KATHLEEN E	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	85360	NA	85360
192438	EPIDEMIOLOGY OF THE FOUR MOST FREQUENT CANCERS FOLLOWING BREAST CANCER		NCI	8830848	1R01CA192438-01	1	R01	CA	1		NA	1896638	MALONE, KATHLEEN E 	MALONE, KATHLEEN E	NA	LI, CHRISTOPHER I	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	932958	NA	932958
5395	PROJECT 3: STEM CELL ALLOGRAFTS FOR LYMPHOID MALIGNANCIES		NCI	8742472	2P01CA078902-16	2	P01	CA	16		5395	1927522	MALONEY, DAVID G	MALONEY, DAVID G	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	263671	263671
85156	TRANSCRIPTIONAL CONTROL OF STROMA DEPENDENT APOPTOSIS IN MDS		NIDDK	8663887	5K08DK085156-05	5	K08	DK	5		NA	9634435	MARCONDES, A. MARIO Q.	MARCONDES, A. MARIO Q.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	150930	NA	150930
5855	LONG-TERM FOLLOW-UP 		NCI	8733526	5P01CA018029-39	5	P01	CA	39		5855	1876403	MARTIN, PAUL J	MARTIN, PAUL J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	282495	282495
98424	EFFECT OF HELICOBACTER PYLORI CELL SHAPE ON PATHOGENESIS		NIAID	8617793	5F31AI098424-03	5	F31	AI	3		NA	10838725	MARTINEZ, LAURA ELIZABETH	MARTINEZ, LAURA ELIZABETH	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	35134	NA	35134
5274	BRAIN METASTASIS MICROENVIRONMENT AND MECHANISMS		NCI	8731827	5U54CA163167-04	5	U54	CA	4		5274	1894200	MASSAGUE, JOAN 	MASSAGUE, JOAN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	236655	236655
113246	LEVERAING DEEP SEQUENCING DATA TO UNDERSTAND ANTIBODY MATURATION		NIGMS	8825760	1R01GM113246-01	1	R01	GM	1		NA	10379728	MATSEN, FREDERICK ALBERT	MATSEN, FREDERICK ALBERT	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	379787	NA	379787
190605	PATHOGENIC MECHANISMS OF CSF3R MUTATIONS IN LEUKEMIA		NCI	8803154	1K99CA190605-01	1	K99	CA	1		NA	9323532	MAXSON, JULIA E	MAXSON, JULIA E	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	80618	NA	80618
68618	LC:  HIV VACCINE TRIALS NETWORK		NIAID	8555029	2UM1AI068618-08	2	UM1	AI	8		NA	6365670	MCELRATH, MARGARET JULIANA	MCELRATH, MARGARET JULIANA	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	11216519	NA	11216519
69481	SEATTLE-LAUSANNE-KAMPALA CTU		NIAID	8609747	2UM1AI069481-08	2	UM1	AI	8		NA	6365670	MCELRATH, MARGARET JULIANA	MCELRATH, MARGARET JULIANA	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	2039318	NA	2039318
176270	PROFILING CANCER NEOANTIGEN REPERTOIRES AND VALIDATING IMMUNOTHERAPY TARGETS		NCI	8656668	5U01CA176270-02	5	U01	CA	2		NA	6202564	MCINTOSH, MARTIN  	MCINTOSH, MARTIN	NA	WARREN, EDUS HOUSTON	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	1047882	NA	1047882
161131	WEIGHT LOSS & CANCER BIOMARKERS IN WOMEN: 0XIDATIVE STRESS & INFLAMMATION		NCI	8629621	5R01CA161131-03	5	R01	CA	3		NA	1858777	MCTIERNAN, ANNE 	MCTIERNAN, ANNE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	167899	NA	167899
45341	CAUSES AND CONSEQUENCES OF LIFESPAN BIOMARKER VARIATION IN CAENORHABDITIS ELEGANS		NIA	8700898	1K99AG045341-01A1	1	K99	AG	1	A1	NA	9801899	MENDENHALL, ALEXANDER RICHARD	MENDENHALL, ALEXANDER RICHARD	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	109750	NA	109750
114563	BIOLOGY AND PROGNOSTIC IMPLICATIONS OF FLT3 MUTATIONS IN AML		NCI	8701243	5R01CA114563-08	5	R01	CA	8		NA	6554624	MESHINCHI, SOHEIL 	MESHINCHI, SOHEIL	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	416234	NA	416234
108307	STATINS FOR PREVENTION OF GVHD		NHLBI	8649076	5R01HL108307-04	5	R01	HL	4		NA	7346289	MIELCAREK, MARCO B	MIELCAREK, MARCO B	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	431200	NA	431200
85035	MOLECULAR MECHANISMS OF ELECTRICAL SYNAPSE FORMATION IN VIVO		NINDS	8743313	5K99NS085035-02	5	K99	NS	2		NA	8069428	MILLER, ADAM C	MILLER, ADAM C	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	90000	NA	90000
6885	FSH-PATIENT DERIVED IPS CELLS TO STUDY THE DEVELOPMENTAL REGULATION OF DUX4 TRANS		NINDS	8634148	5P01NS069539-05	5	P01	NS	5		6885	1939329	MILLER, DANIEL G	MILLER, DANIEL G	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	NA	222826	222826
76585	TILLING THE ZEBRAFISH GENOME: A REVERSE GENETICS APPROACH		NICHD	8738413	5R01HD076585-09	5	R01	HD	9		NA	3130466	MOENS, CECILIA B 	MOENS, CECILIA B	NA	SOLNICAKREZEL, LILIANNA 	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	619337	NA	619337
82567	MECHANISMS OF TANGENTIAL NEURON MIGRATION		NINDS	8719193	5R01NS082567-02	5	R01	NS	2		NA	3130466	MOENS, CECILIA B	MOENS, CECILIA B	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2014	389955	NA	389955
