Index	Inst	Title	PI	Local PI	MemberID	Phase	Sponsor	Sponsor Type	Type	Age	Trial IDs	Tumor Type(s)
149	Fred Hutch	A Safety and Efficacy Study of Carfilzomib and Pomalidomide With Dexamethasone in Patients With Relapsed or Refractory Multiple Myeloma	William I. Bensinger	William I. Bensinger		Phase I/II	Academic Myeloma Consortium; Celgene Corporation; Onyx Pharmaceuticals Inc: Criterium Inc	Pharma; Other	 Treatment	 18 and over	 AMyC 10-MM-01, NCI-2012-01279, IST-CAR-521, PO-MM-PI-0034, NCT01464034	Myeloma
150	Fred Hutch	Temozolomide and Pazopanib Hydrochloride in Treating Patients with Advanced Pancreatic Neuroendocrine Tumors That Cannot Be Removed by Surgery	Halla S. Nimeiri	Elena Gabriela Chiorean		Phase I/II	Northwestern University; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 NU 11I03, NCI-2011-02939, NCT01465659	Pancreas
151	Fred Hutch	Dovitinib Lactate in Combination With Anastrozole, Exemestane, or Letrozole in Treating Patients With Hormone-Receptor Positive Metastatic Breast Cancer	Claudine Isaacs	Pia M. Herbolsheimer		Phase I/II	MedStar Georgetown University Hospital; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2010-535, NCI-2013-00749, NCT01484041	Breast; Mets
152	Fred Hutch	Alpha 1 Anti-Trypsin in Treating Patients with Acute Graft-Versus-Host Disease	H. Joachim Deeg	H. Joachim Deeg		Phase I/II	Fred Hutchinson Cancer Research Center; NCI; National Health Lung and Blood Institute	IIT; NCI; NHLBI	 Biomarker/Laboratory analysis, Supportive care	 not specified	 2571.00, NCI-2011-03805, 2571, NCT01523821	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
153	Fred Hutch	Study to Evaluate Safety, Pharmacokinetics, and Efficacy of Rociletinib (CO-1686) in Previously Treated Mutant Epidermal Growth Factor Receptor (EGFR) in Non-Small Cell Lung Cancer (NSCLC) Patients	Christina S Baik	Christina S Baik		Phase I/II	Clovis Oncology	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CO-1686-008, NCI-2012-00742, NCT01526928	Lung
154	Fred Hutch	Leukemia; Myelodysplastic Syndromes	Daniel Egan	Daniel Egan		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 Not specified	 2498.00, NCI-2011-03362, NCT01640301	Leukemia; Myelodysplastic Syndromes
155	Fred Hutch	Decitabine Followed by Mitoxantrone Hydrochloride, Etoposide, and Cytarabine in Treating Patients with Relapsed or Refractory Acute Myeloid Leukemia or High-Risk Myelodysplastic Syndromes	Anna Halpern	Anna Halpern		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 to 75	 2652.00, NCI-2012-02224, 2652, NCT01729845	Leukemia; Myelodysplastic Syndromes
156	Fred Hutch	Safety Study of Gene Modified Donor T-cells Following Partially Mismatched Stem Cell Transplant	Brenda M. Sandmaier	Brenda M. Sandmaier		Phase I/II	Bellicum Pharmaceuticals Inc	Pharma	 Treatment	 18 to 65	 BP-HM-001, NCI-2013-00518, NCT01744223	Leukemia; Lymphoma
157	Fred Hutch	Safety and Efficacy of Cabazitaxel in Pediatric Patients With Refractory Solid Tumors Including Central Nervous System Tumors	Sarah E. Sherr Leary	Sarah E. Sherr Leary		Phase I/II	Sanofi Aventis	Pharma	 Biomarker/Laboratory analysis, Treatment	 2 to 18	 TED12689, NCI-2014-00195, U1111-1128-5704, NCT01751308	Peds; Solid Tumors; CNS
158	Fred Hutch	Viral oncoprotein targeted autologous T cell therapy for Merkel cell carcinoma	Aude Chapuis	Aude Chapuis		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2586.00, NCI-2012-02779, 2586, NCT01758458	Skin
159	Fred Hutch	Safety Study of Oral Azacitidine (CC-486) as Maintenance Therapy After Allogeneic Hematopoietic Stem Cell Transplantation in Subjects With Acute Myeloid Leukemia or Myelodysplastic Syndromes	Bart Lee Scott	Bart Lee Scott		Phase I/II	Celgene Corporation	Phatma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CC-486-AML-002, NCI-2013-01352, NCT01835587	Leukemia; Myelodysplastic Syndromes
160	Fred Hutch	Laboratory Treated T Cells in Treating Patients with Relapsed or Refractory Chronic Lymphocytic Leukemia, Non-Hodgkin Lymphoma, or Acute Lymphoblastic Leukemia	David G. Maloney	David G. Maloney		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2639.00, NCI-2013-00073, 2639, NCT01865617	Leukemia; Lymphoma
161	Fred Hutch	Radiolabeled Monoclonal Antibody and Combination Chemotherapy before Stem Cell Transplant in Treating Patients with High-Risk Lymphoid Malignancies	Ajay Kumar Gopal	Ajay Kumar Gopal		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2728.00, NCI-2013-01378, NCT01921387	Lymphoma
162	Fred Hutch	Vaccine Therapy with or without Polysaccharide-K in Treating Patients with Stage IV HER2 Positive Breast Cancer Receiving HER2-Targeted Monoclonal Antibody Therapy	Lupe G. Salazar	Lupe G. Salazar		Phase I/II	University of Washington Medical Center; Office of Cancer Complementary and Alternative Medicine; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7866, NCI-2013-01377, 135, 7866/135, NCT01922921	Breast
163	Fred Hutch	Sirolimus, Cisplatin, and Gemcitabine Hydrochloride in Treating Patients with Bladder Cancer	Robert Bruce Montgomery	Robert Bruce Montgomery		Phase I/II	University of Washington Medical Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 8027, NCI-2013-01614, NCT01938573	Bladder
164	Fred Hutch	ACY-1215 (Ricolinostat) in Combination With Pomalidomide and Low-dose Dex in Relapsed-and-Refractory Multiple Myeloma	William I. Bensinger	William I. Bensinger		Phase I/II	Acetylon Pharmaceuticals	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 ACE-MM-102, NCI-2014-00978, NCT01997840	Myeloma
165	Fred Hutch	A Phase 1b Study of MEDI4736 in Combination With Tremelimumab in Subjects With Advanced Non-small Cell Lung Cancer	Sylvia Mina Lee	Sylvia Mina Lee		Phase I/II	MedImmune Inc	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 D4190C00006, NCI-2013-02416, NCT02000947	Lung
166	Fred Hutch	A Study of Pembrolizumab (MK-3475) in Combination With Chemotherapy or Immunotherapy in Participants With Lung Cancer (MK-3475-021/KEYNOTE-021)	Renato Goncalves Martins	Renato Goncalves Martins		Phase I/II	Merck and Company Inc	Pharma	 Treatment	 18 to 75	 3475-021, NCI-2014-00482, NCT02039674	Lung
167	Fred Hutch	Filgrastim, Cladribine, Cytarabine, and Mitoxantrone Hydrochloride in Treating Patients with Newly Diagnosed or Relapsed/Refractory Acute Myeloid Leukemia or High-Risk Myelodysplastic Syndromes	Roland Bruno Walter	Roland Bruno Walter		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 18 and over	 2734.00, NCI-2013-02465, 2734, NCT02044796	Leukemia; Myelodysplastic Syndromes
168	Fred Hutch	Phase 1/2 Dose Escalation Study in Patients With Relapsed or Refractory Waldenstrom's Macroglobulinemia	Edward Norton Libby	Edward Norton Libby		Phase I/II	Idera Pharmaceuticals, Inc.	Pharma	 Treatment	 18 and over	 8400-401, NCI-2014-00988, NCT02092909	Lymphoma
169	Fred Hutch	Brentuximab Vedotin, Ifosfamide, Carboplatin, and Etoposide in Treating Patients with Relapsed or Refractory Hodgkin Lymphoma	Ajay Kumar Gopal	Ajay Kumar Gopal		Phase I/II	University of Washington Medical Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 9111, NCI-2014-01782, NCT02227199	Lymphoma
170	Fred Hutch	ACP-196 in Combination With ACP-319, for Treatment of B-Cell Malignancies	Stephen Douglas Smith	Stephen Douglas Smith		Phase I/II	Acerta Pharma	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 ACE-LY-001, NCI-2015-00533, NCT02328014	Lymphoma
171	Fred Hutch	Genetically Modified T Cells in Treating Patients with Stage III-IV Non-small Cell Lung Cancer or Mesothelioma	Sylvia Mina Lee	Sylvia Mina Lee		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2727.00, NCI-2015-00329, 2727, NCT02408016	Lung; Mesothelioma
172	Fred Hutch	Everolimus in Treating Patients with Kidney Cancer Who Have Undergone Surgery	Christopher W. Ryan	Scott S. Tykodi		Phase III	SWOG; NCI	Coop Group; NCI	 Tissue collection/Repository, Treatment	 18 and over	 S0931, NCI-2011-02028, CDR0000668388, SWOG-S0931, NCT01120249	Kidney
173	Fred Hutch	Radiation Therapy With or Without Chemotherapy in Patients With Stage I or Stage II Cervical Cancer Who Previously Underwent Surgery	Sang Young Ryu	Heidi Joy Gray		Phase III	Gynecologic Oncology Group; NCI	Coop Group; NCI	 Tissue collection/Repository, Treatment	 18 and over	 GOG-0263, NCI-2011-02037, CDR0000670125, NCT01101451	Cervix
174	Fred Hutch	Oxaliplatin, Leucovorin Calcium, and Fluorouracil with or without Celecoxib in Treating Patients with Stage III Colon Cancer Previously Treated with Surgery	Jeffrey A. Meyerhardt	Elena Gabriela Chiorean		Phase III	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CALGB 80702, NCI-2011-02050, CALGB/SWOG 80702, CALGB-SWOG C80702, CDR0000675693, NCT01150045	Colorectal
175	Fred Hutch	Study for Women With Platinum Resistant Ovarian Cancer Evaluating EC145 in Combination With Doxil® (PROCEED)	Barbara Ann Goff	Barbara Ann Goff		Phase III	Endocyte Inc	Pharma	 Treatment	 18 and over	 8109-002, NCI-2011-00940, EC-FV-06, NCT01170650	Ovary
176	Fred Hutch	Single Agent Ofatumumab Vs. Single Agent Rituximab in Follicular Lymphoma Relapsed After Rituximab-Containing Therapy	David G. Maloney	David G. Maloney		Phase III	GlaxoSmithKline	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 113676, NCI-2012-01195, NCT01200589	Lymphoma
177	Fred Hutch	Standard-Dose Lenalidomide, Bortezomib, and Dexamethasone or High-Dose Lenalidomide, Bortezomib, and Dexamethasone Followed by Peripheral Blood Stem Cell Transplant in Treating Patients with Multiple Myeloma	Paul Gerard Guy Richardson	William I. Bensinger		Phase III	Dana-Farber Harvard Cancer Center; NCI	NCI	 Treatment	 18 to 65	 10-106, NCI-2010-02211, IFM/DFCI 2009, NCT01208662	Myeloma
178	Fred Hutch	Graft-Versus-Host Disease Prophylaxis in Treating Patients with Hematologic Malignancies Undergoing Unrelated Donor Peripheral Blood Stem Cell Transplant	Brenda M. Sandmaier	Brenda M. Sandmaier		Phase III	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Supportive care, Treatment	 not specified	 2448.00, NCI-2010-02035, NCT01231412	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
179	Fred Hutch	Tamoxifen Citrate, Letrozole, Anastrozole, or Exemestane with or without Chemotherapy in Treating Patients with Invasive RxPONDER Breast Cancer	Kevin Michael Kalinsky	Julie Ruth Gralow		Phase III	NCI	NCI	 Health services research, Treatment	 18 and over	 S1007, NCI-2011-02623, CDR0000692475, SWOG-S1007, NCT01272037	Breast
180	Fred Hutch	Efficacy Evaluation of TheraSphere Following Failed First Line Chemotherapy in Metastatic Colorectal Cancer	William Proctor Harris	William Proctor Harris		Phase III	BTG International Inc	Pharma	 Treatment	 18 and over	 TS-102, NCI-2012-00575, NCT01483027	Colorectal; Mets
181	Fred Hutch	Acupuncture, Sham Acupuncture, or Wait List for Joint Symptoms Related to Aromatase Inhibitors in Patients with Early-Stage Breast Cancer	Dawn Lauryn Hershman	Julie Ruth Gralow		Phase III	SWOG; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Supportive care	 Postmenopausal	 S1200, NCI-2012-00251, CDR0000725249, SWOG-S1200, NCT01535066	Breast
182	Fred Hutch	Efficacy Evaluation of TheraSphere in Patients With Inoperable Liver Cancer	William Proctor Harris	William Proctor Harris		Phase III	BTG International Inc	Pharma	 Treatment	 18 and over	 TS-103, NCI-2012-01029, NCT01556490	Liver
183	Fred Hutch	A Phase 3 Study Comparing Oral Ixazomib Plus Lenalidomide and Dexamethasone Versus Placebo Plus Lenalidomide and Dexamethasone in Adult Patients With Relapsed and/or Refractory Multiple Myeloma	William I. Bensinger	William I. Bensinger		Phase III	Millennium Pharmaceuticals, Inc.	Pharma	 Treatment	 18 and over	 C16010, NCI-2013-00086, 2011-005496-17, CTR20130908, NCT01564537	Myeloma
184	Fred Hutch	The Efficacy and Safety of Oral Azacitidine Plus Best Supportive Care Versus Placebo and Best Supportive Care in Subjects With Red Blood Cell (RBC) Transfusion-Dependent Anemia and Thrombocytopenia Due to International Prognostic Scoring System (IPSS) Low Risk Myelodysplastic Syndrome (MDS)	Bart Lee Scott	Bart Lee Scott		Phase III	Celgene Corporation	Pharma	 Supportive care	 18 and over	 AZA-MDS-003, NCI-2013-00382, 2012-002471-34, NCT01566695	Myelodysplastic Syndrome
185	Fred Hutch	INSPIRE: Internet and Social-media Program with Information and Resources for Long-Term Cancer Survivors Who Underwent Stem Cell Transplant	Karen L Syrjala	Karen L Syrjala		Phase III	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Supportive care	 18 and over	 2605.00, NCI-2012-00743, NCT01602211	Any
186	Fred Hutch	Proton Beam or Intensity-Modulated Radiation Therapy in Treating Patients with Low or Low-Intermediate Risk Prostate Cancer	Jason Alexander Efstathiou	Jing Zeng		Phase III	Dana-Farber Harvard Cancer Center; NCI	NCI	 Biomarker/Laboratory analysis, Supportive care, Treatment	 18 and over	 11-497, NCI-2012-01144, NCT01617161	Prostate
187	Fred Hutch	Hormone Therapy with or without Everolimus in Treating Patients with Breast Cancer	Mariana Chavez-MacGregor	Julie Ruth Gralow		Phase III	SWOG; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 S1207, NCI-2012-01995, CDR0000738280, SWOG-S1207, NCT01674140	Breast
188	Fred Hutch	Phase 3 Frontline Therapy Trial in Patients With Advanced Classical Hodgkin Lymphoma	Ajay Kumar Gopal	Ajay Kumar Gopal		Phase III	Millennium Pharmaceuticals, Inc.; Seattle Genetics	Pharma	 Treatment	 18 and over	 C25003, NCI-2012-03101, 12/LO/1950, 2011-005450-60, JapicCTI-142491, U1111-1161-4937, NCT01712490	Lymphoma
189	Fred Hutch	An Open-label Extension Study in Patients 65 Years or Older With Chronic Lymphocytic Leukemia (CLL) or Small Lymphocytic Lymphoma (SLL) Who Participated in Study PCYC-1115-CA (PCI-32765 Versus Chlorambucil)	John Michael Pagel	John Michael Pagel		Phase III	Janssen Pharmaceuticals	Pharma	 Treatment	 65 and over	 PCYC-1116-CA, NCI-2013-01129, 2012-003968-44, NCT01724346	Leukemia; Lymphoma
190	Fred Hutch	Study of KW-0761 Versus Vorinostat in Relapsed/Refractory CTCL	Andrei R. Shustov	Andrei R. Shustov		Phase III	Kyowa Hakko Kirin Pharma, Inc.	Pharma	 Treatment	 18 and over	 0761-010, NCI-2012-02782, NCT01728805	Lymphoma
191	Fred Hutch	Study of Tivantinib in Subjects With Inoperable Hepatocellular Carcinoma Who Have Been Treated With One Prior Therapy	William Proctor Harris	William Proctor Harris		Phase III	Daiichi Sankyo Inc; Covance; ArQule	Pharma	 Treatment	 18 and over	 ARQ197-A-U303, NCI-2013-00021, NCT01755767	Liver
192	Fred Hutch	A Multicenter, Open-Label, Phase 3 Trial to Compare the Efficacy and Safety of Lenvatinib (E7080) Versus Sorafenib in First-Line Treatment of Subjects With Unresectable Hepatocellular Carcinoma	William Proctor Harris	William Proctor Harris		Phase III	Eisai Inc	Pharma	 Treatment	 18 and over	 E7080-G000-304, NCI-2013-02335, NCT01761266	Liver
193	Fred Hutch	A Phase III Study of Xilonix in Patients With Advanced Colorectal Cancer	Andrew L Coveler	Andrew L Coveler		Phase III	XBiotech USA	Pharma	 Supportive care	 18 and over	 2012-PT023, NCI-2013-00997, NCT01767857	Colorectal
194	Fred Hutch	Androgen Deprivation Therapy and Orteronel or Bicalutamide in Treating Patients with Newly Diagnosed Metastatic Prostate Cancer	Neeraj Agarwal	Heather H. Cheng		Phase III	SWOG; NCI	Coop Group; NCI	 Treatment	 18 and over	 S1216, NCI-2012-02876, SWOG-S1216, NCT01809691	Prostate; Mets
195	Fred Hutch	Immunotherapy Study in Borderline Resectable or Locally Advanced Unresectable Pancreatic Cancer	Andrew L Coveler	Andrew L Coveler		Phase III	NewLink Genetics Corporation	Pharma	 Treatment	 18 and over	 NLG0505, NCI-2013-01044, 1210-1195, NCT01836432	Pancreas
196	Fred Hutch	Study of Cabozantinib (XL184) vs Placebo in Subjects With Hepatocellular Carcinoma Who Have Received Prior Sorafenib	William Proctor Harris	William Proctor Harris		Phase III	Exelixis Inc	Pharma	 Treatment	 18 and over	 XL184-309, NCI-2013-02092, NCT01908426	Liver
197	Fred Hutch	A Study of ARN-509 in Men With Non-Metastatic Castration-Resistant Prostate Cancer	Celestia Savoye Higano	Celestia Savoye Higano		Phase III	Aragon Pharmaceuticals, Inc.	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CR102931, NCI-2013-02187, 2012-004322-24, ARN-509-003, NCT01946204	Prostate
198	Fred Hutch	A Study of the Efficacy and Safety of Nivolumab vs Bevacizumab and of Nivolumab With or Without Ipilimumab in Glioblastoma Patients at Different Stages of Treatment (CheckMate 143)	Marc Charles Chamberlain	Marc Charles Chamberlain		Phase III	Bristol-Myers Squibb	Pharma	 Treatment	 18 and over	 CA209-143, NCI-2014-00328, 2013-003738-34, NCT02017717	Brain
199	Fred Hutch	Ibrutinib and Rituximab Compared With Fludarabine Phosphate, Cyclophosphamide, and Rituximab in Treating Patients With Untreated Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma	Tait D. Shanafelt	Mazyar Shadman		Phase III	National Cancer Institute	NCI	 Biomarker/Laboratory analysis, Treatment	 18 to 70	 E1912, NCI-2014-00118, ECOG-E1912, NCT02048813	Leukemia; Lymphoma
200	Fred Hutch	Study of Ruxolitinib in Pancreatic Cancer Patients (Janus 1)	Elena Gabriela Chiorean	Elena Gabriela Chiorean		Phase III	Incyte Corporation	Pharma	 Treatment	 18 and over	 INCB 18424-362, NCI-2014-01324, NCT02117479	Pancreas
201	Fred Hutch	Erlotinib Hydrochloride in Treating Patients with Stage IB-IIIA Non-Small Cell Lung Cancer That Has Been Completely Removed by Surgery (An ALCHEMIST Treatment Trial)	Ramaswamy Govindan	Rafael Santana-Davila		Phase III	National Cancer Institute	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 A081105, NCI-2014-01508, NCT02193282	Lung
202	Fred Hutch	Crizotinib in Treating Patients with Stage IB-IIIA Non-small Cell Lung Cancer That Has Been Removed by Surgery and ALK Fusion Mutations (An ALCHEMIST Treatment Trial)	David Eric Gerber	Rafael Santana-Davila		Phase III	ECOG-ACRIN Cancer Research Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 E4512, NCI-2014-01507, NCT02201992	Lung
203	Fred Hutch	Defibrotide for Patients With Hepatic Veno-occlusive Disease: A Treatment IND Study	Ann Elizabeth Woolfrey	Ann Elizabeth Woolfrey		Phase III	Jazz Pharmaceuticals plc	Pharma	 Treatment	 Not specified	 P2006-05, NCI-2009-01678, NCT00628498	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
204	Fred Hutch	Study to Evaluate Efficacy, Safety, and Immunogenicity of GlaxoSmithKline (GSK) Biologicals' Herpes Zoster Vaccine GSK1437173A	Michael Boeckh	Michael Boeckh		Phase III	GlaxoSmithKline	Pharma	 Prevention	 18 and over	 115523, NCI-2013-00630, 2012-000138-20, NCT01610414	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
205	Fred Hutch	A Study of the Safety and Efficacy of CMX001 for the Prevention of Cytomegalovirus (CMV) Infection in CMV-seropositive (R+) Hematopoietic Stem Cell Transplant Recipients	Michael Boeckh	Michael Boeckh		Phase III	Chimerix, Inc.	Pharma	 Prevention	 18 and over	 115523, NCI-2013-00630, 2012-000138-20, NCT01610414	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
206	Fred Hutch	A Study to Evaluate a Therapeutic Vaccine, ASP0113, in Cytomegalovirus (CMV)-Seropositive Recipients Undergoing Allogeneic, Hematopoietic Cell Transplant (HCT)	Michael Boeckh	Michael Boeckh		Phase III	Vical Inc	Pharma	 Prevention	 18 and over	 115523, NCI-2013-00630, 2012-000138-20, NCT01610414	Leukemia; Lymphoma; Myelodysplastic Syndrome
207	Fred Hutch	Momelotinib Versus Ruxolitinib in Subjects With Myelofibrosis	H. Joachim Deeg	H. Joachim Deeg		Phase III	Gilead	Pharma	 Treatment	 18 and over	 GS-US-352-0101, NCI-2013-02398, 2013-002707-33, NCT01969838	Leukemia
208	Fred Hutch	MK-8228 (Letermovir) Versus Placebo in the Prevention of Clinically-Significant Cytomegalovirus (CMV) Infection in Adult, CMV-Seropositive Allogeneic Hematopoietic Stem Cell Transplant Recipients (MK-8228-001)	Margaret Green	Margaret Green		Phase III	Merck and Company Inc	Pharma	 Supportive care	 18 and over	 8228-001, NCI-2014-01367, 2013-003831-31, NCT02137772	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
209	Fred Hutch	Paclitaxel and Carboplatin with or without Metformin Hydrochloride in Treating Patients with Stage III, IV, or Recurrent Endometrial Cancer	Victoria Lin Bae-Jump	Heidi Joy Gray		Phase II/III	NRG Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 GOG-0286B, NCI-2013-02284, NCT02065687	Endometrius
210	Fred Hutch	Trametinib in Treating Patients with Recurrent or Progressive Low-Grade Ovarian Cancer or Peritoneal Cavity Cancer	David M. Gershenson	Heidi Joy Gray		Phase II/III	National Cancer Institute	NCI	 Biomarker/Laboratory analysis, Treatment	 19 and over	 GOG-0281, NCI-2014-00629, NCT02101788	Ovary; Primary Peritoneal
211	Fred Hutch	Lung-MAP: Biomarker-Targeted Second-Line Therapy in Treating Patients with Recurrent Stage IV Squamous Cell Lung Cancer	Vassiliki A. Papadimitrakopoulou	Christina S Baik		Phase II/III	SWOG; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 S1400, NCI-2014-00627, S1400A, S1400B, S1400C, S1400D, S1400E, NCT02154490	Lung
212	Fred Hutch	An Extension (Rollover) Study of Vemurafenib in Patients With BRAF V600 Mutation-Positive Malignancies Previously Enrolled in an Antecedent Vemurafenib Protocol	John A. Thompson	John A. Thompson		Phase IV	Hoffmann-La Roche	Pharma	 Treatment	 18 and over	 GO28399, NCI-2013-01160, 2012-003144-80, NCT01739764	Any
213	NSHS-Children's	Genetic Biomarkers in Children With Neuroblastoma (also known as Neuroblastoma Epidemiology in North America [NENA])	Andrew F. Olshan	Andrew F. Olshan		No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Natural history/Epidemiology	 Children under 18 years old and parents	 AEPI07N1, NCI-2011-02257, CDR0000594334, COG-AEPI07N1, NCT01119560	CNS
214	NSHS-Children's	Study of Blood Samples From Newborns With Down Syndrome	April Deon Sorrell	Arlene Sara Redner, MD	119	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis	 Under 90 days at diagnosis	 AAML08B1, NCI-2011-02193, CDR0000636115, COG-AAML08B1, NCT00959283	N/A
215	NSHS-Children's	Informed Consent to Enroll Younger Patients with Newly Diagnosed Cancer in the Childhood Cancer Research Network	Julie Ross	Arlene Sara Redner, MD	119	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Health services research, Treatment	 18 and under	 ACCRN07, NCI-2009-00331, 10-C-0111, CDR0000069496, NCT01117168	Peds
216	NSHS-Children's	Study of Kidney Tumors in Younger Patients	Elizabeth Anne Mullen	Arlene Sara Redner, MD	119	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Natural history/Epidemiology, Tissue collection/Repository	 Under 30	 AREN03B2, NCI-2009-00416, CDR0000459797, COG-AREN03B2, NCT00898365	Kidney
217	NSHS-Children's	Biomarkers in Tumor Tissue Samples from Patients with Newly Diagnosed Neuroblastoma or Ganglioneuroblastoma	Michael D. Hogarty	Arlene Sara Redner, MD	119	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Tissue collection/Repository	 Under 31	 ANBL00B1, NCI-2009-00397, CDR0000078642, NCT00256763, COG-ANBL00B1, NCT00904241	CNS
218	NSHS-Children's	Collecting and Storing Tissue, Blood, and Bone Marrow Samples From Patients With Rhabdomyosarcoma or Other Soft Tissue Sarcoma	Steve Skapek	Arlene Sara Redner, MD	119	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Tissue collection/Repository	 50 and under	 D9902, NCI-2009-00502, CCG-B904, CDR0000078602, COG-D9902, IRS-D9902, POG-9153, NCT00919269	Sarcoma
219	NSHS-Children's	Risk-Based Classification System of Patients with Newly Diagnosed Acute Lymphoblastic Leukemia	Karen Ruth Rabin	Arlene Sara Redner, MD	119	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Health services research, Tissue collection/Repository	 30 and under	 AALL08B1, NCI-2011-02235, CDR0000674844, COG-AALL08B1, NCT01142427	Leukemia
220	NSHS-Children's	Collecting and Storing Malignant, Borderline Malignant Neoplasms, and Related Samples from Young Patients With Cancer	Nilsa C. Ramirez	Arlene Sara Redner, MD	119	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Tissue collection/Repository	 0 months to 30 year	 ABTR01B1, NCI-2009-00324, CDR0000271415, COG-ABTR01B1, NCT00898079	Peds
221	NSHS-Children's	Collecting and Storing Samples of Blood and Tumor Tissue From Patients With Osteosarcoma	Richard G. Gorlick	Arlene Sara Redner, MD	119	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Tissue collection/Repository	 No age limitations	 AOST06B1, NCI-2009-00410, CDR0000562538, COG-AOST06B1, NCT00899275	Sarcoma
222	NSHS-Children's	Collecting and Storing Biological Samples From Patients With Ewing Sarcoma	Stephen L. Lessnick	Carolyn Fein Levy, MD	91	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Tissue collection/Repository	 21 and under	 AEWS07B1, NCI-2009-00370, CDR0000544202, COG-AEWS07B1, NCT00899990	Sarcoma
223	Feinstein Institute	A Pharmacologic Study of Arsenic Trioxide in Cancer Patients		Cristina Ghiuzeli, MD	108	No phase specified			Biomarker/Laboratory Analysis?	18 or older	10-326A	Any
224	Feinstein Institute	Extension Study of Trastuzamab Emtansine as a Single Agent or in Combination with Other Therapies in Patients Previously Enrolled in a Genentech and/or F.Hoffman-LARoche LTD-Sponsored Trastuzamab Emtansine Study		Daniel Budman, MD	62	No phase specified			Treatment		14-06-263-03	Breast
