Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
EPIGENOMIC PROFILING OF HISTONE TURNOVER KINETICS IN MAMMALIAN CELLS		NIEHS	8667447	5R01ES020116-05	5	R01	ES	20116	5			1862345	HENIKOFF, STEVEN 	HENIKOFF, STEVEN		Not Applicable	Fred Hutch	 	2014	476486		476486
COMPUTATIONAL APPROACHES TO STUDYING IMMUNODOMINANCE.		NIAID	8712338	5K25AI087397-05	5	K25	AI	87397	5			9866388	HERTZ, TOMER 	HERTZ, TOMER		Not Applicable	Fred Hutch	 	2014	123871		123871
OVERCOMING STROMAL BARRIERS TO THERAPEUTICS IN PANCREAS CANCER		NCI	8699699	5R01CA161112-04	5	R01	CA	161112	4			1926329	HINGORANI, SUNIL R	HINGORANI, SUNIL R		Not Applicable	Fred Hutch	 	2014	494110		494110
METABOLIC ALTERATIONS IN ADVANCED BREAST CANCER AND RESPONSE TO SYSTEMIC THERAPY.		NCI	8728123	5P50CA138293-05	5	P50	CA	138293	5		6631	1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.		Not Applicable	Fred Hutch	 	2014		340614	340614
METABOLISM; PROTEIN AND MIRNA CROSS-TALK IN CELL CYCLE AND TUMOR PROGRESSION		NCI	8624665	5R01CA158921-03	5	R01	CA	158921	3			1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.		Not Applicable	Fred Hutch	 	2014	354244		354244
BIOMARKER DISCOVERY FOR MITOCHONDRIAL TOXICANTS USING METABOLIC FOOTPRINTING		NIEHS	8691819	5R01ES020819-04	5	R01	ES	20819	4			1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.		Not Applicable	Fred Hutch	 	2014	373821		373821
THE PRONEURAL PERIVASCULAR NICHE AND THERAPEUTIC RESPONSE		NCI	8731826	5U54CA163167-04	5	U54	CA	163167	4		5273	2067406	HOLLAND, ERIC C.	HOLLAND, ERIC C.		Not Applicable	Fred Hutch	 	2014		236656	236656
ADMINISTRATIVE CORE		NCI	8731829	5U54CA163167-04	5	U54	CA	163167	4		5276	2067406	HOLLAND, ERIC C.	HOLLAND, ERIC C.		Not Applicable	Fred Hutch	 	2014		43292	43292
ROLE OF THE PERIVASCULAR MICROENVIRONMENT IN PRIMARY AND METASTATIC BRAIN TUMORS		NCI	8731825	5U54CA163167-04	5	U54	CA	163167	4			2067406	HOLLAND, ERIC C.	HOLLAND, ERIC C.		Not Applicable	Fred Hutch	 	2014	934250		934250
DEFINING THE ROLE OF EIF4F IN METASTATIC CASTRATION RESISTANT PROSTATE CANCER		NCI	8991399	7K08CA175154-03	7	K08	CA	175154	3			10807181	HSIEH, ANDREW CALEB	HSIEH, ANDREW CALEB		Not Applicable	Fred Hutch	 	2014	111744		111744
INVESTIGATING THE PROTO TARGETS IN REGULATING DRUG-INDUCED HAIR CELL DEATH		NIDCD	8836313	1F32DC014397-01	1	F32	DC	14397	1			8825727	HSU, JOANNE 	HSU, JOANNE		Not Applicable	Fred Hutch	 	2014	53282		53282
STATISTICAL METHODS FOR GENETIC EPIDEMIOLOGY		NCI	8692663	5P01CA053996-37	5	P01	CA	53996	37		6127	1938051	HSU, LI 	HSU, LI		Not Applicable	Fred Hutch	 	2014		173201	173201
BIOSTATISTICS		NCI	8728128	5P50CA138293-05	5	P50	CA	138293	5		6639	1938051	HSU, LI 	HSU, LI		Not Applicable	Fred Hutch	 	2014		219515	219515
NONHUMAN PRIMATE CORE		NIAID	8691709	5U19AI096111-04	5	U19	AI	96111	4		8302	1858802	HU, SHIU-LOK 	HU, SHIU-LOK		Not Applicable	Fred Hutch	 	2014		1092245	1092245
STATISTICAL METHODS FOR SELECTION AND EVALUATION OF BIOMARKERS		NIGMS	8660307	5R01GM106177-02	5	R01	GM	106177	2			9297264	HUANG, YING 	HUANG, YING		Not Applicable	Fred Hutch	 	2014	324364		324364
PATHOLOGY CORE		NCI	8731830	5U54CA163167-04	5	U54	CA	163167	4		5277	10795010	HUSE, JASON THOMAS	HUSE, JASON THOMAS		Not Applicable	Fred Hutch	 	2014		17703	17703
STATISTICAL METHODS FOR EVALUATING MARKERS FOR TREATMENT SELECTION		NCI	8586307	5R01CA152089-05	5	R01	CA	152089	5			6817166	JANES, HOLLY 	JANES, HOLLY		Not Applicable	Fred Hutch	 	2014	366952		366952
TARGETED DISRUPTION OF INTEGRATED SHIV BY ENGINEERED HOMING ENDONUCLEASES		NIAID	8691707	5U19AI096111-04	5	U19	AI	96111	4		8300	1942486	JEROME, KEITH R	JEROME, KEITH R		Not Applicable	Fred Hutch	 	2014		628732	628732
ADMINISTRATIVE CORE		NIAID	8691713	5U19AI096111-04	5	U19	AI	96111	4		8306	1942486	JEROME, KEITH R	JEROME, KEITH R		Not Applicable	Fred Hutch	 	2014		334002	334002
TARGETED MODIFICATION OF HOST AND PROVIRAL DNA TO TREAT LATENT HIV INFECTION		NIAID	8691703	5U19AI096111-04	5	U19	AI	96111	4			1942486	JEROME, KEITH R 	JEROME, KEITH R		KIEM, HANS-PETER 	Fred Hutch	 	2014	4068789		4068789
HIGH-RESOLUTION ANALYSIS OF CHROMATIN REGULATION BY THE MAX NETWORK		NCI	8717349	1F30CA186458-01	1	F30	CA	186458	1			10698317	KASINATHAN, SIVAKANTHAN 	KASINATHAN, SIVAKANTHAN		Not Applicable	Fred Hutch	 	2014	36338		36338
AN INTEGRATED COMPUTATIONAL AND FUNCTIONAL GENOMICS DISCOVERY ENGINE FOR PRECLINI		NCI	8685205	5U01CA176303-02	5	U01	CA	176303	2			1894034	KEMP, CHRISTOPHER J	KEMP, CHRISTOPHER J		Not Applicable	Fred Hutch	 	2014	1013016		1013016
CCR5 TARGETING TO CONTROL HIV/SHIV TO NONHUMAN PRIMATES		NIAID	8691706	5U19AI096111-04	5	U19	AI	96111	4		8299	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2014		248918	248918
TRANSPLANTATION CORE		NIAID	8691710	5U19AI096111-04	5	U19	AI	96111	4		8303	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2014		628430	628430
CELL-BASED SECRETION OF ANTIVIRAL MOLECULES AS A TREATMENT FOR HIV-AIDS		NIAID	8656280	1R21AI110154-01	1	R21	AI	110154	1			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2014	259621		259621
CORE D: VECTOR PRODUCTION		NIDDK	8698731	5P30DK056465-16	5	P30	DK	56465	16		6050	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2014		177106	177106
EVALUATION OF PLURIPOTENT STEM CELL-DERIVED BLOOD CELLS IN NONHUMAN PRIMATE MODEL		NHLBI	8708956	5R01HL115128-02	5	R01	HL	115128	2			2090964	KIEM, HANS-PETER  	KIEM, HANS-PETER		RAFII, SHAHIN 	Fred Hutch	 	2014	841579		841579
COLLABORATION FOR A HEALTHY COMMUNITY		NIMHD	8656811	5R24MD008068-02	5	R24	MD	8068	2			10576913	KO, LINDA K 	KO, LINDA K		PERRY, CYNTHIA KAY	Fred Hutch	 	2014	358866		358866
ADAPTIVE STATISTICAL METHODS FOR GENETIC ASSOCIATION STUDIES		NHGRI	8633050	5R01HG006124-04	5	R01	HG	6124	4			1861221	KOOPERBERG, CHARLES L	KOOPERBERG, CHARLES L		Not Applicable	Fred Hutch	 	2014	344960		344960
EXONIC VARIANTS AND THEIR RELATION TO COMPLEX TRAITS IN MINORITIES OF THE WHI		NHGRI	8728986	5U01HG007376-02	5	U01	HG	7376	2			1861221	KOOPERBERG, CHARLES L	KOOPERBERG, CHARLES L		Not Applicable	Fred Hutch	 	2014	665846		665846
POLICY STUDIES		NIGMS	8796480	1U54GM111274-01	1	U54	GM	111274	1		5091	7354070	KOOPMAN, JAMES STEPHEN	KOOPMAN, JAMES STEPHEN		Not Applicable	Fred Hutch	 	2014		217214	217214
PHYLOGENIES OF BARRETT'S ESOPHAGUS LINEAGES		NCI	8668335	2P01CA091955-11A1	2	P01	CA	91955	11	A1	6499	1931836	KUHNER, MARY K	KUHNER, MARY K		Not Applicable	Fred Hutch	 	2014		167129	167129
OBJECTIVE PHYSICAL ACTIVITY AND CARDIOVASCULAR HEALTH IN WOMEN AGED 80 AND OLDER		NHLBI	8656403	5R01HL105065-04	5	R01	HL	105065	4			1871640	LACROIX, ANDREA Z.	LACROIX, ANDREA Z.		Not Applicable	Fred Hutch	 	2014	977906		977906
GUT MICROBIOTA AND COLONIC GENE EXPRESSION: A LIGRAN TRIAL IN HUMANS		NCI	8726945	5U01CA162077-04	5	U01	CA	162077	4			1938336	LAMPE, JOHANNA W 	LAMPE, JOHANNA W		CHAPKIN, ROBERT STEPHEN;HULLAR, MEREDITH 	Fred Hutch	 	2014	607938		607938
CHARACTERIZING NOVEL ESTROGEN BIOMARKERS IMPLICATED IN BREAST CANCER INITIATION		NCI	8601152	5R03CA162173-02	5	R03	CA	162173	2			1938336	LAMPE, JOHANNA W	LAMPE, JOHANNA W		Not Applicable	Fred Hutch	 	2014	85360		85360
AFFINITY BASED STRATEGIES TO FAST TRACK DEVELOPMENT OF COLON CANCER BIOMARKERS		NCI	8686771	5U01CA152746-05	5	U01	CA	152746	5			3168785	LAMPE, PAUL D 	LAMPE, PAUL D		HANASH, SAMIR M	Fred Hutch	 	2014	584841		584841
PROTEOMIC; GLYCOMIC AND AUTOANTIBODY LUNG CANCER BIOMARKER VALIDATION		NCI	8687191	1U01CA185097-01	1	U01	CA	185097	1			3168785	LAMPE, PAUL D 	LAMPE, PAUL D		HOUGHTON, A. MCGARRY 	Fred Hutch	 	2014	349811		349811
PHOSPHORYLATION OF GAP JUNCTION PROTEINS		NIGMS	8759795	2R01GM055632-17A1	2	R01	GM	55632	17	A1		3168785	LAMPE, PAUL D	LAMPE, PAUL D		Not Applicable	Fred Hutch	 	2014	393270		393270
SWOG STATISTICS AND DATA MANAGEMENT CENTER		NCI	8605318	1U10CA180819-01	1	U10	CA	180819	1			1941183	LEBLANC, MICHAEL L.	LEBLANC, MICHAEL L.		Not Applicable	Fred Hutch	 	2014	6340997		6340997
IMPROVING OUTCOMES ASSESSMENT IN CHRONIC GRAFT VERSUS HOST DISEASE		NCI	8616040	5R01CA118953-07	5	R01	CA	118953	7			1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2014	279083		279083
IMMUNE MEDIATED DISORDERS AFTER ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTS (HCT)		NCI	8922274	3U54CA163438-05S1	3	U54	CA	163438	5	S1		1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2014	300000		300000
PREP EXPOSURE DURING HIV-1 INFECTION AND THE RISK OF LOW-FREQUENCY ARV RESISTANCE		NIAID	8617795	5R21AI104449-02	5	R21	AI	104449	2			10333916	LEHMAN, DARA ANN	LEHMAN, DARA ANN		Not Applicable	Fred Hutch	 	2014	218179		218179
LATE EFFECTS OF TREATMENT IN WILMS TUMOR SURVIVORS AND OFFSPRING		NCI	8707831	5R01CA054498-23	5	R01	CA	54498	23			1933795	LEISENRING, WENDY M	LEISENRING, WENDY M		Not Applicable	Fred Hutch	 	2014	658124		658124
EVOLUTIONARY AND FUNCTIONAL DIVERSIFICATION OF CHROMATIN PROTEINS		NIGMS	8730205	5K99GM107351-02	5	K99	GM	107351	2			10199354	LEVINE, MIA TAUNA	LEVINE, MIA TAUNA		Not Applicable	Fred Hutch	 	2014	90000		90000
RISK FACTORS FOR SECOND PRIMARY BREAST CANCER AMONG DCIS SURVIVORS		NCI	8597519	5R01CA097271-10	5	R01	CA	97271	10			6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2014	554629		554629
RISK FACTORS FOR TRIPLE-NEGATIVE AND HER2-OVEREXPRESSING BREAST CANCER AMONG HI..		NCI	8725070	5P50CA148143-05	5	P50	CA	148143	5		6185	6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2014		272139	272139
BREAST AND OVARY CANCER CLINICAL VALIDATION CENTER		NCI	8688928	5U01CA152637-05	5	U01	CA	152637	5			6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2014	725717		725717
MODELING; SPATIAL; STATISTICS		NIGMS	8796461	1U54GM111274-01	1	U54	GM	111274	1		5085	8541810	LONGINI, IRA M	LONGINI, IRA M		Not Applicable	Fred Hutch	 	2014		896156	896156
ESOPHAGEAL CANCER FROM CELLS TO POPULATION: A MULTISCALE APPROACH		NCI	8735912	5U01CA182940-02	5	U01	CA	182940	2			2268350	LUEBECK, GEORG E. 	LUEBECK, GEORG E.		HUR, CHIN ;INADOMI, JOHN MATTHEW;WANG, KENNETH K	Fred Hutch	 	2014	648084		648084
REGULATORY T CELL MODULATION OF IMMUNITY TO MUCOSAL VIRAL INFECTIONS		NIAID	8667932	5R01AI087657-05	5	R01	AI	87657	5			8733495	LUND, JENNIFER M.	LUND, JENNIFER M.		Not Applicable	Fred Hutch	 	2014	435600		435600
USING MOUSE MODELS TO UNDERSTAND RETINOBLASTOMA INITIATION AND PROGRESSION		NCI	8593272	5R01CA148867-06	5	R01	CA	148867	6			9856130	MACPHERSON, DAVID 	MACPHERSON, DAVID		Not Applicable	Fred Hutch	 	2014	386570		386570
POST GWA ANALYSIS OF INFLAMMATION PATHWAYS IN BARRETT'S AND ESOPHAGEAL CANCER		NIDDK	8702512	1R21DK099804-01A1	1	R21	DK	99804	1	A1		2478519	MADELEINE, MARGARET M	MADELEINE, MARGARET M		Not Applicable	Fred Hutch	 	2014	220000		220000
GENETIC CONFLICT SHAPES CENTROMERES AND HETEROCHROMATIN		NIGMS	8890953	3R01GM074108-09S1	3	R01	GM	74108	9	S1		8039624	MALIK, HARMIT S	MALIK, HARMIT S		Not Applicable	Fred Hutch	 	2014	115256		115256
TAMOXIFEN; P450 AND UGT ENZYME GENETIC VARIATION; AND BREAST CANCER RECURRENCE/MO		NCI	8734348	5R03CA173795-02	5	R03	CA	173795	2			1896638	MALONE, KATHLEEN E	MALONE, KATHLEEN E		Not Applicable	Fred Hutch	 	2014	85360		85360
EPIDEMIOLOGY OF THE FOUR MOST FREQUENT CANCERS FOLLOWING BREAST CANCER		NCI	8830848	1R01CA192438-01	1	R01	CA	192438	1			1896638	MALONE, KATHLEEN E 	MALONE, KATHLEEN E		LI, CHRISTOPHER I	Fred Hutch	 	2014	932958		932958
PROJECT 3: STEM CELL ALLOGRAFTS FOR LYMPHOID MALIGNANCIES		NCI	8742472	2P01CA078902-16	2	P01	CA	78902	16		5395	1927522	MALONEY, DAVID G	MALONEY, DAVID G		Not Applicable	Fred Hutch	 	2014		263671	263671
TRANSCRIPTIONAL CONTROL OF STROMA DEPENDENT APOPTOSIS IN MDS		NIDDK	8663887	5K08DK085156-05	5	K08	DK	85156	5			9634435	MARCONDES, A. MARIO Q.	MARCONDES, A. MARIO Q.		Not Applicable	Fred Hutch	 	2014	150930		150930
LONG-TERM FOLLOW-UP 		NCI	8733526	5P01CA018029-39	5	P01	CA	18029	39		5855	1876403	MARTIN, PAUL J	MARTIN, PAUL J		Not Applicable	Fred Hutch	 	2014		282495	282495
EFFECT OF HELICOBACTER PYLORI CELL SHAPE ON PATHOGENESIS		NIAID	8617793	5F31AI098424-03	5	F31	AI	98424	3			10838725	MARTINEZ, LAURA ELIZABETH	MARTINEZ, LAURA ELIZABETH		Not Applicable	Fred Hutch	 	2014	35134		35134
BRAIN METASTASIS MICROENVIRONMENT AND MECHANISMS		NCI	8731827	5U54CA163167-04	5	U54	CA	163167	4		5274	1894200	MASSAGUE, JOAN 	MASSAGUE, JOAN		Not Applicable	Fred Hutch	 	2014		236655	236655
LEVERAING DEEP SEQUENCING DATA TO UNDERSTAND ANTIBODY MATURATION		NIGMS	8825760	1R01GM113246-01	1	R01	GM	113246	1			10379728	MATSEN, FREDERICK ALBERT	MATSEN, FREDERICK ALBERT		Not Applicable	Fred Hutch	 	2014	379787		379787
PATHOGENIC MECHANISMS OF CSF3R MUTATIONS IN LEUKEMIA		NCI	8803154	1K99CA190605-01	1	K99	CA	190605	1			9323532	MAXSON, JULIA E	MAXSON, JULIA E		Not Applicable	Fred Hutch	 	2014	80618		80618
LC:  HIV VACCINE TRIALS NETWORK		NIAID	8555029	2UM1AI068618-08	2	UM1	AI	68618	8			6365670	MCELRATH, MARGARET JULIANA	MCELRATH, MARGARET JULIANA		Not Applicable	Fred Hutch	 	2014	11216519		11216519
SEATTLE-LAUSANNE-KAMPALA CTU		NIAID	8609747	2UM1AI069481-08	2	UM1	AI	69481	8			6365670	MCELRATH, MARGARET JULIANA	MCELRATH, MARGARET JULIANA		Not Applicable	Fred Hutch	 	2014	2039318		2039318
PROFILING CANCER NEOANTIGEN REPERTOIRES AND VALIDATING IMMUNOTHERAPY TARGETS		NCI	8656668	5U01CA176270-02	5	U01	CA	176270	2			6202564	MCINTOSH, MARTIN  	MCINTOSH, MARTIN		WARREN, EDUS HOUSTON	Fred Hutch	 	2014	1047882		1047882
WEIGHT LOSS & CANCER BIOMARKERS IN WOMEN: 0XIDATIVE STRESS & INFLAMMATION		NCI	8629621	5R01CA161131-03	5	R01	CA	161131	3			1858777	MCTIERNAN, ANNE 	MCTIERNAN, ANNE		Not Applicable	Fred Hutch	 	2014	167899		167899
CAUSES AND CONSEQUENCES OF LIFESPAN BIOMARKER VARIATION IN CAENORHABDITIS ELEGANS		NIA	8700898	1K99AG045341-01A1	1	K99	AG	45341	1	A1		9801899	MENDENHALL, ALEXANDER RICHARD	MENDENHALL, ALEXANDER RICHARD		Not Applicable	Fred Hutch	 	2014	109750		109750
BIOLOGY AND PROGNOSTIC IMPLICATIONS OF FLT3 MUTATIONS IN AML		NCI	8701243	5R01CA114563-08	5	R01	CA	114563	8			6554624	MESHINCHI, SOHEIL 	MESHINCHI, SOHEIL		Not Applicable	Fred Hutch	 	2014	416234		416234
STATINS FOR PREVENTION OF GVHD		NHLBI	8649076	5R01HL108307-04	5	R01	HL	108307	4			7346289	MIELCAREK, MARCO B	MIELCAREK, MARCO B		Not Applicable	Fred Hutch	 	2014	431200		431200
MOLECULAR MECHANISMS OF ELECTRICAL SYNAPSE FORMATION IN VIVO		NINDS	8743313	5K99NS085035-02	5	K99	NS	85035	2			8069428	MILLER, ADAM C	MILLER, ADAM C		Not Applicable	Fred Hutch	 	2014	90000		90000
FSH-PATIENT DERIVED IPS CELLS TO STUDY THE DEVELOPMENTAL REGULATION OF DUX4 TRANS		NINDS	8634148	5P01NS069539-05	5	P01	NS	69539	5		6885	1939329	MILLER, DANIEL G	MILLER, DANIEL G		Not Applicable	Fred Hutch	 	2014		222826	222826
TILLING THE ZEBRAFISH GENOME: A REVERSE GENETICS APPROACH		NICHD	8738413	5R01HD076585-09	5	R01	HD	76585	9			3130466	MOENS, CECILIA B 	MOENS, CECILIA B		SOLNICAKREZEL, LILIANNA 	Fred Hutch	 	2014	619337		619337
MECHANISMS OF TANGENTIAL NEURON MIGRATION		NINDS	8719193	5R01NS082567-02	5	R01	NS	82567	2			3130466	MOENS, CECILIA B	MOENS, CECILIA B		Not Applicable	Fred Hutch	 	2014	389955		389955
CANCER GENOMICS:INTEGRATIVE AND SCALABLE SOLUTIONS IN R / BIOCONDUCTOR		NCI	8787350	1U24CA180996-01A1	1	U24	CA	180996	1	A1		9988122	MORGAN, MARTIN T	MORGAN, MARTIN T		Not Applicable	Fred Hutch	 	2014	749248		749248
BIOCONDUCTOR: AN OPEN COMPUTING RESOURCE FOR GENOMICS		NHGRI	8641409	5U41HG004059-09	5	U41	HG	4059	9			9988122	MORGAN, MARTIN T	MORGAN, MARTIN T		Not Applicable	Fred Hutch	 	2014	1169604		1169604
EXPLOITING MECHANISMS OF RESPONSE AND RESISTANCE TO NEXT GENERATION ANDROGEN PATHWAY ANTAGONISTS		NCI	8933577	5P50CA097186-12	5	P50	CA	97186	12		7591	1900872	MOSTAGHEL, ELAHE A	MOSTAGHEL, ELAHE A		Not Applicable	Fred Hutch	 	2014		119938	119938
PREGNANCY OUTCOMES IN WOMEN WITH DISABILITIES: EXPLORATORY RESEARCH		NICHD	8651932	5R21HD073024-02	5	R21	HD	73024	2			1901141	MUELLER, BETH A	MUELLER, BETH A		Not Applicable	Fred Hutch	 	2014	250387		250387
IGF::OT::IGF LEUKOCYTE TELOMERE DYNAMICS; CARDIOVASCULAR AGING AND SURVIVAL IN THE WOMEN'S HEALTH INITIATIVE LONG LIFE STUDY		NHLBI	8947309	268201300007C-2-0-2		N01						12246679	N/A, N/A 	N/A, N/A		Not Applicable	Fred Hutch	 	2014	710909		710909
MICROCHIMERISM AS ALLOIMMUNITY		NHLBI	8629071	2R01HL117737-15A1	2	R01	HL	117737	15	A1		1884131	NELSON, J. LEE 	NELSON, J. LEE		DELANEY, COLLEEN 	Fred Hutch	 	2014	581476		581476
CLINICAL DEVELOPMENT OF THERAPEUTIC STRATEGIES TARGETING DAMAGE RESPONSES IN THE PROSTATE TUMOR MICROENVIRONMENT		NCI	8933576	5P50CA097186-12	5	P50	CA	97186	12		7590	1901168	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2014		158023	158023
LEADERSHIP AND ADMINISTRATION		NCI	8933578	5P50CA097186-12	5	P50	CA	97186	12		7592	1901168	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2014		289452	289452
DEVELOPMENTAL RESEARCH PROGRAM		NCI	8933582	5P50CA097186-12	5	P50	CA	97186	12		7596	1901168	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2014		165573	165573
THE PACIFIC NORTHWEST PROSTATE CANCER SPORE		NCI	8735846	5P50CA097186-12	5	P50	CA	97186	12			1901168	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2014	2161845		2161845
RESISTANCE TO CANCER THERAPEUTICS THROUGH MICROENVIRONMENT DAMAGE RESPONSES.		NCI	8606441	5R01CA165573-03	5	R01	CA	165573	3			1901168	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2014	354244		354244
NON INVASIVE BIOMARKERS FOR DIAGNOSING CLINICALLY SIGNIFICANT PROSTATE CANCER		NCI	8613360	1R01CA181605-01	1	R01	CA	181605	1			1901168	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2014	370588		370588
METABOLIC RESPONSE TO WESTERN VS INDIGENOUS DIETS IN HISPANIC WOMEN		NCI	8725069	5P50CA148143-05	5	P50	CA	148143	5		6184	6954985	NEUHOUSER, MARIAN L	NEUHOUSER, MARIAN L		Not Applicable	Fred Hutch	 	2014		129924	129924
INTERACTION OF VITAMIN D & VITAMIN A WITH LUNG CANCER RISK IN NON-SMOKING FEMALES		NCI	8601154	5R03CA167696-02	5	R03	CA	167696	2			6954985	NEUHOUSER, MARIAN L	NEUHOUSER, MARIAN L		Not Applicable	Fred Hutch	 	2014	85360		85360
EATING FREQUENCY AND ITS INFLUENCE ON SATIETY AND BIOMARKERS OF HEALTH & DISEASE		NIDDK	8798420	1R01DK103674-01	1	R01	DK	103674	1			6954985	NEUHOUSER, MARIAN L	NEUHOUSER, MARIAN L		Not Applicable	Fred Hutch	 	2014	406078		406078
CANCER SURVIVORSHIP: DECREASING THE RISK OF COLON CANCER MORTALITY		NCI	8699022	5K05CA152715-05	5	K05	CA	152715	5			1860334	NEWCOMB, POLLY A.	NEWCOMB, POLLY A.		Not Applicable	Fred Hutch	 	2014	109173		109173
A COHORT STUDY OF SESSILE SERRATED POLYPS AND SUBSEQUENT COLORECTAL NEOPLASIA		NCI	8655145	5R01CA168338-02	5	R01	CA	168338	2			1860334	NEWCOMB, POLLY A.	NEWCOMB, POLLY A.		Not Applicable	Fred Hutch	 	2014	647425		647425
DEVELOPMENT OF A COMPREHENSIVE MODEL FOR COLORECTAL CANCER RISK PREDICTION		NCI	8720722	5R01CA170122-03	5	R01	CA	170122	3			1860334	NEWCOMB, POLLY A. 	NEWCOMB, POLLY A.		JENKINS, MARK 	Fred Hutch	 	2014	280342		280342
MOLECULAR CORRELATES OF OUTCOMES IN CLINICAL TRIALS OF COLON CANCER		NCI	8655147	5R01CA176272-02	5	R01	CA	176272	2			1860334	NEWCOMB, POLLY A. 	NEWCOMB, POLLY A.		CHAN, ANDREW T	Fred Hutch	 	2014	611147		611147
DEFINING THE IMPACT OF LIPID SYNTHESIS AND TURNOVER ON AGING IN C. ELEGANS		OD	8715428	5DP5OD009189-04	5	DP5	OD	9189	4			10782281	OLSEN, CARISSA 	OLSEN, CARISSA		Not Applicable	Fred Hutch	 	2014	440000		440000
TARGETED THERAPY IN EX VIVO MEDULLOBLASTOMA/PNET		NCI	8633417	5R01CA114567-08	5	R01	CA	114567	8			1904823	OLSON, JAMES M	OLSON, JAMES M		Not Applicable	Fred Hutch	 	2014	220474		220474
CHLOROTOXIN AS A TARGETING AGENT FOR CANCER THERAPIES		NCI	8762325	2R01CA135491-06	2	R01	CA	135491	6			1904823	OLSON, JAMES M	OLSON, JAMES M		Not Applicable	Fred Hutch	 	2014	396000		396000
INFANT AND TODDLER BRAIN TUMORS		NCI	8633426	5R01CA155360-04	5	R01	CA	155360	4			1904823	OLSON, JAMES M	OLSON, JAMES M		Not Applicable	Fred Hutch	 	2014	354244		354244
EARLY AND REINFECTION IN HIGH RISK WOMEN		NIAID	8628021	5R37AI038518-20	5	R37	AI	38518	20			2433259	OVERBAUGH, JULIE M.	OVERBAUGH, JULIE M.		Not Applicable	Fred Hutch	 	2014	694606		694606
THE ROLE OF ANTIBODIES IN MOTHER TO CHILD HIV TRANSMISSION		NIAID	8685874	5R01AI076105-07	5	R01	AI	76105	7			2433259	OVERBAUGH, JULIE M.	OVERBAUGH, JULIE M.		Not Applicable	Fred Hutch	 	2014	575449		575449
CHARACTERIZATION OF HIV-1 ANTIBODY RESPONSES IN CHRONICALLY INFECTED WOMEN		NIAID	8705257	5R01AI103981-08	5	R01	AI	103981	8			2433259	OVERBAUGH, JULIE M.	OVERBAUGH, JULIE M.		Not Applicable	Fred Hutch	 	2014	673805		673805
CORE F: CANINE CELL & MOLECULAR RESOURCES		NIDDK	8698733	5P30DK056465-16	5	P30	DK	56465	16		6052	8074148	PADDISON, PATRICK 	PADDISON, PATRICK		Not Applicable	Fred Hutch	 	2014		169254	169254
RADIOIMMUNOTHERAPY FOR LEUKEMIA		NCI	8719023	5P01CA044991-26	5	P01	CA	44991	26		8452	1931663	PAGEL, JOHN M.	PAGEL, JOHN M.		Not Applicable	Fred Hutch	 	2014		267368	267368
CORE B: PHARMACEUTICAL PRODUCTION		NCI	8742468	2P01CA078902-16	2	P01	CA	78902	16		5391	1931663	PAGEL, JOHN M.	PAGEL, JOHN M.		Not Applicable	Fred Hutch	 	2014		322320	322320
REGULATION OF MEMBRANE-CORTICAL CYTOSKELETON CROSSTALK BY WASH		NIGMS	8687673	5R01GM097083-04	5	R01	GM	97083	4			1864696	PARKHURST, SUSAN M	PARKHURST, SUSAN M		Not Applicable	Fred Hutch	 	2014	350508		350508
